competencia,period_date,year,month,uf,state_abbrev,state_name,macroregion,formal_hiring_balance_construction,source_archive,source_status
201603,2016-03-01,2016,3,26,PE,Pernambuco,Northeast,-437,CAGEDEST_032016.7z,salvaged_exit_2
201603,2016-03-01,2016,3,22,PI,Piaui,Northeast,-236,CAGEDEST_032016.7z,salvaged_exit_2
201603,2016-03-01,2016,3,41,PR,Parana,South,-2388,CAGEDEST_032016.7z,salvaged_exit_2
201603,2016-03-01,2016,3,33,RJ,Rio de Janeiro,Southeast,-3751,CAGEDEST_032016.7z,salvaged_exit_2
201603,2016-03-01,2016,3,24,RN,Rio Grande do Norte,Northeast,-620,CAGEDEST_032016.7z,salvaged_exit_2
201603,2016-03-01,2016,3,11,RO,Rondonia,North,-269,CAGEDEST_032016.7z,salvaged_exit_2
201603,2016-03-01,2016,3,14,RR,Roraima,North,60,CAGEDEST_032016.7z,salvaged_exit_2
201603,2016-03-01,2016,3,43,RS,Rio Grande do Sul,South,0,implicit_zero_fill,implicit_zero_fill
201603,2016-03-01,2016,3,42,SC,Santa Catarina,South,-310,CAGEDEST_032016.7z,salvaged_exit_2
201603,2016-03-01,2016,3,28,SE,Sergipe,Northeast,-256,CAGEDEST_032016.7z,salvaged_exit_2
201603,2016-03-01,2016,3,35,SP,Sao Paulo,Southeast,-7362,CAGEDEST_032016.7z,salvaged_exit_2
201603,2016-03-01,2016,3,17,TO,Tocantins,North,125,CAGEDEST_032016.7z,salvaged_exit_2
201604,2016-04-01,2016,4,12,AC,Acre,North,12,CAGEDEST_042016.7z,integrity_ok
201604,2016-04-01,2016,4,27,AL,Alagoas,Northeast,-430,CAGEDEST_042016.7z,integrity_ok
201604,2016-04-01,2016,4,13,AM,Amazonas,North,-46,CAGEDEST_042016.7z,integrity_ok
201604,2016-04-01,2016,4,16,AP,Amapa,North,-70,CAGEDEST_042016.7z,integrity_ok
201604,2016-04-01,2016,4,29,BA,Bahia,Northeast,-3425,CAGEDEST_042016.7z,integrity_ok
201604,2016-04-01,2016,4,23,CE,Ceara,Northeast,-952,CAGEDEST_042016.7z,integrity_ok
201604,2016-04-01,2016,4,53,DF,Distrito Federal,Center-West,757,CAGEDEST_042016.7z,integrity_ok
201604,2016-04-01,2016,4,32,ES,Espirito Santo,Southeast,153,CAGEDEST_042016.7z,integrity_ok
201604,2016-04-01,2016,4,52,GO,Goias,Center-West,2055,CAGEDEST_042016.7z,integrity_ok
201604,2016-04-01,2016,4,21,MA,Maranhao,Northeast,-1632,CAGEDEST_042016.7z,integrity_ok
201604,2016-04-01,2016,4,31,MG,Minas Gerais,Southeast,-1543,CAGEDEST_042016.7z,integrity_ok
201604,2016-04-01,2016,4,50,MS,Mato Grosso do Sul,Center-West,50,CAGEDEST_042016.7z,integrity_ok
