outcome,short_label,channel,channel_slug,pseudo_treated_state,pre_rmspe,crisis_rmspe,post_rmspe,mean_gap_crisis,mean_gap_post,post_pre_rmspe_ratio,abs_post_mean_gap
public_investment_share_total_ma4_clean,"Investimento/despesa total, MM4",Setor público estadual,public_sector,AP,0.001965514746368167,,0.01316438173430451,,0.009307615084867623,6.697676401883706,0.009307615084867623
public_investment_share_total_ma4_clean,"Investimento/despesa total, MM4",Setor público estadual,public_sector,BA,0.002208451724698226,,0.009707106357055918,,0.008441762572347626,4.395435158711629,0.008441762572347626
public_investment_share_total_ma4_clean,"Investimento/despesa total, MM4",Setor público estadual,public_sector,CE,0.01025198430497725,,0.010229181455764551,,0.00268267787282044,0.9977757623759111,0.00268267787282044
public_investment_share_total_ma4_clean,"Investimento/despesa total, MM4",Setor público estadual,public_sector,DF,0.002099147112272316,,0.008630730121252537,,0.002775267878860254,4.111541335428281,0.002775267878860254
public_investment_share_total_ma4_clean,"Investimento/despesa total, MM4",Setor público estadual,public_sector,ES,0.0014394757960017022,,0.053232048235182204,,0.04948655924474863,36.98016207222095,0.04948655924474863
public_investment_share_total_ma4_clean,"Investimento/despesa total, MM4",Setor público estadual,public_sector,GO,0.00277778327877638,,0.04032290234661513,,-0.03869695604742712,14.516216097455043,0.03869695604742712
public_investment_share_total_ma4_clean,"Investimento/despesa total, MM4",Setor público estadual,public_sector,MA,0.001971459201678013,,0.010524400064651888,,0.009451494539477415,5.338380858043633,0.009451494539477415
public_investment_share_total_ma4_clean,"Investimento/despesa total, MM4",Setor público estadual,public_sector,MG,0.0019704129287470428,,0.003765188762298297,,5.070701000575311e-4,1.9108627980291046,5.070701000575311e-4
public_investment_share_total_ma4_clean,"Investimento/despesa total, MM4",Setor público estadual,public_sector,MS,0.003051691798302103,,0.027306459784887563,,0.024457349461416433,8.947974300707662,0.024457349461416433
public_investment_share_total_ma4_clean,"Investimento/despesa total, MM4",Setor público estadual,public_sector,MT,0.01780675787143311,,0.011056522143152989,,0.0072248592594727325,0.6209171946393826,0.0072248592594727325
public_investment_share_total_ma4_clean,"Investimento/despesa total, MM4",Setor público estadual,public_sector,PA,0.0019257664517634515,,0.02891567617471596,,0.025754457387264788,15.015152096058932,0.025754457387264788
public_investment_share_total_ma4_clean,"Investimento/despesa total, MM4",Setor público estadual,public_sector,PB,0.0016751816193769785,,0.011139647040906022,,-0.007915478843450348,6.649814510888079,0.007915478843450348
public_investment_share_total_ma4_clean,"Investimento/despesa total, MM4",Setor público estadual,public_sector,PE,0.001328052978067208,,0.012952863246713197,,-0.012408124587345607,9.753272994850134,0.012408124587345607
public_investment_share_total_ma4_clean,"Investimento/despesa total, MM4",Setor público estadual,public_sector,PI,0.0033190521060484234,,0.013270822882018295,,-0.008740526951502885,3.998377385469308,0.008740526951502885
public_investment_share_total_ma4_clean,"Investimento/despesa total, MM4",Setor público estadual,public_sector,PR,0.0012713829988939876,,0.014393991989802514,,0.010446260726672192,11.321523099116677,0.010446260726672192
public_investment_share_total_ma4_clean,"Investimento/despesa total, MM4",Setor público estadual,public_sector,RJ,0.003667568979364308,,0.005030076344196953,,-0.0043460368247894565,1.371501496631375,0.0043460368247894565
public_investment_share_total_ma4_clean,"Investimento/despesa total, MM4",Setor público estadual,public_sector,RN,0.0012994283826514126,,0.012563165682939902,,0.010479892360780176,9.668224775347333,0.010479892360780176
public_investment_share_total_ma4_clean,"Investimento/despesa total, MM4",Setor público estadual,public_sector,RO,0.0020217552275845554,,0.010207493039979561,,-0.006797954310999769,5.04882732623114,0.006797954310999769
public_investment_share_total_ma4_clean,"Investimento/despesa total, MM4",Setor público estadual,public_sector,RR,0.002701305902353021,,0.0035414469693865348,,-8.720704241894201e-4,1.3110129313017433,8.720704241894201e-4
