period,period_date,year,bimester,uf,state_abbrev,state_name,macroregion,total_revenue_nominal,total_revenue_real,state_tax_revenue_nominal,state_tax_revenue_real,federal_current_transfers_nominal,federal_capital_transfers_nominal,federal_transfers_nominal,federal_transfers_real,transfer_dependency_ratio,own_revenue_ratio,liquidated_expenditure_total_nominal,liquidated_expenditure_total_real,liquidated_expenditure_health_nominal,liquidated_expenditure_health_real,liquidated_expenditure_education_nominal,liquidated_expenditure_education_real,liquidated_expenditure_public_security_nominal,liquidated_expenditure_public_security_real,public_investment_liquidated_cumulative_nominal,public_investment_liquidated_nominal,public_investment_liquidated_real,public_investment_flow_is_derived,public_investment_negative_flow_flag,ipca_month_code,deflator_base_month,source_system,source_frequency,fiscal_series_version,social_expenditure_share_real,pilot_id,treated_unit,donor_pool_main,excluded_from_main_donor_pool,transition_period,analysis_period,post_treatment,treated_post,fiscal_main_window
2015B2,2015-04-01,2015,2,26,PE,Pernambuco,Northeast,4222310992.38,7555151667.206368,2399810180.82,4294077324.3188167,,,0,0,0,0.5683641458791014,4184289628.7,7487118504.865927,820261986.3,1467727915.9504209,468905540.72,839031630.8122334,348798707.85,624119621.6688315,,,,,,201504,202604,Siconfi/RREO,bimonthly,rreo_annex01_02_06_v1,0.39145622799033947,rr_2018_01,FALSE,TRUE,FALSE,FALSE,pre,FALSE,FALSE,TRUE
2015B2,2015-04-01,2015,2,22,PI,Piaui,Northeast,1169514484.98,2092659523.887442,387927826.88,694134935.4174724,,,0,0,0,0.3316998907342597,1324408169.23,2369817051.8177776,254765731.71,455862617.92405385,163956610.46,293374187.998441,34408802.03,61569059.809351936,,,,,,201504,202604,Siconfi/RREO,bimonthly,rreo_annex01_02_06_v1,0.342138590449383,rr_2018_01,FALSE,TRUE,FALSE,FALSE,pre,FALSE,FALSE,TRUE
2015B2,2015-04-01,2015,2,41,PR,Parana,South,7642710758.93,13675411175.660122,4988121440.93,8925447246.468113,,,0,0,0,0.6526639039821979,6549905089.86,11720009835.610338,441014406.04,789124896.5479481,1370944737.65,2453086814.0685787,443459409.09,793499839.2991735,,,,,,201504,202604,Siconfi/RREO,bimonthly,rreo_annex01_02_06_v1,0.34434369992194924,rr_2018_01,FALSE,TRUE,FALSE,FALSE,pre,FALSE,FALSE,TRUE
2015B2,2015-04-01,2015,2,33,RJ,Rio de Janeiro,Southeast,9506857793.25,17011004787.707594,4973016352.4,8898419101.218584,,,0,0,0,0.5230977953547291,9730466646.56,17411117144.1721,734767778.2,1314749674.8808036,994671866.51,1779806561.891917,1442910380.46,2581857846.623686,,,,,,201504,202604,Siconfi/RREO,bimonthly,rreo_annex01_02_06_v1,0.32602239341640593,rr_2018_01,FALSE,TRUE,FALSE,FALSE,pre,FALSE,FALSE,TRUE
2015B2,2015-04-01,2015,2,24,RN,Rio Grande do Norte,Northeast,1540216108.18,2755970917.010786,822487483.5,1471710088.0147922,,,0,0,0,0.534007844179668,1328316412.45,2376810229.329505,164160954.57,293739829.1712813,178008973.04,318518648.1687307,116975594.63,209309158.03839093,,,,,,201504,202604,Siconfi/RREO,bimonthly,rreo_annex01_02_06_v1,0.34565975240276803,rr_2018_01,FALSE,TRUE,FALSE,FALSE,pre,FALSE,FALSE,TRUE
2015B2,2015-04-01,2015,2,11,RO,Rondonia,North,937427606.92,1677377095.170992,344388981.31,616229119.7894742,,,0,0,0,0.3673766152903476,795163137.05,1422817530.8323383,141137715.26,252543416.78684193,141999518.1,254085475.43083563,137488495.61,246013720.61513504,,,,,,201504,202604,Siconfi/RREO,bimonthly,rreo_annex01_02_06_v1,0.5289804184465748,rr_2018_01,FALSE,TRUE,FALSE,FALSE,pre,FALSE,FALSE,TRUE
2015B2,2015-04-01,2015,2,14,RR,Roraima,North,503905481.56,901658439.1801312,117583888.09,210397602.10533997,,,0,0,0,0.23334512600653123,534706375.13,956771722.5992812,122211667.36,218678274.54522,55126282.37,98639684.50126693,50719359.61,90754199.53875443,,,,,,201504,202604,Siconfi/RREO,bimonthly,rreo_annex01_02_06_v1,0.4265094263829447,rr_2018_01,TRUE,FALSE,TRUE,FALSE,pre,FALSE,FALSE,TRUE
2015B2,2015-04-01,2015,2,43,RS,Rio Grande do Sul,South,6693585004.04,11977102111.645935,4716247859.95,8438972862.578023,,,0,0,0,0.7045922113640818,7280930408.51,13028062976.398872,757008301.81,1354545542.4364808,672965554.74,1204164459.23621,475075426.94,850071657.5287949,,,,,,201504,202604,Siconfi/RREO,bimonthly,rreo_annex01_02_06_v1,0.26164915424316726,rr_2018_01,FALSE,TRUE,FALSE,FALSE,pre,FALSE,FALSE,TRUE
2015B2,2015-04-01,2015,2,42,SC,Santa Catarina,South,3334982165.1,5967418342.758383,2016641642.88,3608458376.907592,,,0,0,0,0.6046933815670138,3415655406.43,6111770233.188353,453319297.12,811142535.3541917,498157968.49,891374181.8074584,324372974.95,580413670.834037,,,,,,201504,202604,Siconfi/RREO,bimonthly,rreo_annex01_02_06_v1,0.37353013953287006,rr_2018_01,FALSE,TRUE,FALSE,FALSE,pre,FALSE,FALSE,TRUE
2015B2,2015-04-01,2015,2,28,SE,Sergipe,Northeast,1036485535.44,1854625449.249723,338462388.35,605624427.5336444,,,0,0,0,0.32654810586075267,1197401785.44,2142559397.426954,162905043.13,291492576.08478343,130641514.26,233762140.22346315,130586250.17,233663253.9542012,,,,,,201504,202604,Siconfi/RREO,bimonthly,rreo_annex01_02_06_v1,0.35421093631002665,rr_2018_01,FALSE,TRUE,FALSE,FALSE,pre,FALSE,FALSE,TRUE
