period_date,year,month,uf,state_abbrev,state_name,macroregion,formal_hiring_balance,post_2020_caged_dummy,caged_method_break_dummy,retail_volume_index,retail_nominal_revenue_index,services_volume_index,services_nominal_revenue_index,pnadc_period_date,pnadc_period,pnadc_population,unemployment_rate_pnadc,labor_income_real_pnadc,informality_rate_pnadc,formalization_rate_pnadc,pnadc_transition_quarter,pilot_id,treated_unit,donor_pool_main,excluded_from_main_donor_pool,transition_period,pnadc_predictor_valid,analysis_period,post_treatment,treated_post,caged_break_control,monthly_main_window,monthly_pre_2020_robustness_window
2016-03-01,2016,3,15,PA,Para,North,-5296,0,0,74.04796,56.0707,99.52485,77.69488,2016-01-01,2016Q1,5994000,0.101,2234,0.607,0.393,FALSE,rr_2018_01,FALSE,TRUE,FALSE,FALSE,TRUE,pre,FALSE,FALSE,0,TRUE,TRUE
2016-03-01,2016,3,25,PB,Paraiba,Northeast,-3856,0,0,88.02472,61.98724,104.14279,79.66776,2016-01-01,2016Q1,3058000,0.103,2353,0.525,0.475,FALSE,rr_2018_01,FALSE,TRUE,FALSE,FALSE,TRUE,pre,FALSE,FALSE,0,TRUE,TRUE
2016-03-01,2016,3,26,PE,Pernambuco,Northeast,-11383,0,0,97.12553,68.25735,100.66531,77.65377,2016-01-01,2016Q1,7264000,0.134,2619,0.475,0.525,FALSE,rr_2018_01,FALSE,TRUE,FALSE,FALSE,TRUE,pre,FALSE,FALSE,0,TRUE,TRUE
2016-03-01,2016,3,22,PI,Piaui,Northeast,-1137,0,0,89.52666,62.85776,114.30316,88.52671,2016-01-01,2016Q1,2544000,0.096,2226,0.595,0.405,FALSE,rr_2018_01,FALSE,TRUE,FALSE,FALSE,TRUE,pre,FALSE,FALSE,0,TRUE,TRUE
2016-03-01,2016,3,41,PR,Parana,South,-3855,0,0,93.69113,64.89623,96.36977,68.99123,2016-01-01,2016Q1,8952000,0.081,3664,0.32,0.6799999999999999,FALSE,rr_2018_01,FALSE,TRUE,FALSE,FALSE,TRUE,pre,FALSE,FALSE,0,TRUE,TRUE
2016-03-01,2016,3,33,RJ,Rio de Janeiro,Southeast,-13741,0,0,105.59194,76.09179,113.11588,90.97533,2016-01-01,2016Q1,14009000,0.102,3918,0.317,0.683,FALSE,rr_2018_01,FALSE,TRUE,FALSE,FALSE,TRUE,pre,FALSE,FALSE,0,TRUE,TRUE
2016-03-01,2016,3,24,RN,Rio Grande do Norte,Northeast,-2383,0,0,95.40634,64.11671,109.45738,83.43827,2016-01-01,2016Q1,2626000,0.145,2543,0.45,0.55,FALSE,rr_2018_01,FALSE,TRUE,FALSE,FALSE,TRUE,pre,FALSE,FALSE,0,TRUE,TRUE
2016-03-01,2016,3,11,RO,Rondonia,North,-546,0,0,83.94408,71.0963,132.1311,108.37224,2016-01-01,2016Q1,1254000,0.076,2671,0.467,0.5329999999999999,FALSE,rr_2018_01,FALSE,TRUE,FALSE,FALSE,TRUE,pre,FALSE,FALSE,0,TRUE,TRUE
2016-03-01,2016,3,14,RR,Roraima,North,220,0,0,76.56263,56.68545,91.48964,72.40958,2016-01-01,2016Q1,348000,0.084,3286,0.44,0.56,FALSE,rr_2018_01,TRUE,FALSE,TRUE,FALSE,TRUE,pre,FALSE,FALSE,0,TRUE,TRUE
2016-03-01,2016,3,43,RS,Rio Grande do Sul,South,4803,0,0,82.57285,57.40194,107.73233,83.36616,2016-01-01,2016Q1,9101000,0.076,3875,0.322,0.6779999999999999,FALSE,rr_2018_01,FALSE,TRUE,FALSE,FALSE,TRUE,pre,FALSE,FALSE,0,TRUE,TRUE
2016-03-01,2016,3,42,SC,Santa Catarina,South,-3803,0,0,68.11923,46.74399,94.01991,72.36405,2016-01-01,2016Q1,5681000,0.061,3662,0.271,0.729,FALSE,rr_2018_01,FALSE,TRUE,FALSE,FALSE,TRUE,pre,FALSE,FALSE,0,TRUE,TRUE
2016-03-01,2016,3,28,SE,Sergipe,Northeast,-5827,0,0,116.43313,79.1452,120.83656,92.18818,2016-01-01,2016Q1,1723000,0.116,2531,0.516,0.484,FALSE,rr_2018_01,FALSE,TRUE,FALSE,FALSE,TRUE,pre,FALSE,FALSE,0,TRUE,TRUE
2016-03-01,2016,3,35,SP,Sao Paulo,Southeast,-32616,0,0,92.06327,63.19906,85.36436,70.23253,2016-01-01,2016Q1,36040000,0.122,4706,0.267,0.733,FALSE,rr_2018_01,FALSE,TRUE,FALSE,FALSE,TRUE,pre,FALSE,FALSE,0,TRUE,TRUE
2016-03-01,2016,3,17,TO,Tocantins,North,-334,0,0,97.38645,69.95728,103.42744,84.26843,2016-01-01,2016Q1,1095000,0.108,2880,0.428,0.5720000000000001,FALSE,rr_2018_01,FALSE,FALSE,TRUE,FALSE,TRUE,pre,FALSE,FALSE,0,TRUE,TRUE
2016-04-01,2016,4,12,AC,Acre,North,-463,0,0,73.4108,58.77372,109.43939,84.17206,2016-04-01,2016Q2,582000,0.111,2520,0.483,0.517,FALSE,rr_2018_01,FALSE,TRUE,FALSE,FALSE,TRUE,pre,FALSE,FALSE,0,TRUE,TRUE
2016-04-01,2016,4,27,AL,Alagoas,Northeast,-7102,0,0,87.15809,61.68088,92.78911,76.37753,2016-04-01,2016Q2,2431000,0.141,2047,0.485,0.515,FALSE,rr_2018_01,FALSE,TRUE,FALSE,FALSE,TRUE,pre,FALSE,FALSE,0,TRUE,TRUE
2016-04-01,2016,4,13,AM,Amazonas,North,-2045,0,0,69.33078,53.12653,81.48534,64.08936,2016-04-01,2016Q2,2705000,0.135,2522,0.5670000000000001,0.43299999999999994,FALSE,rr_2018_01,FALSE,FALSE,TRUE,FALSE,TRUE,pre,FALSE,FALSE,0,TRUE,TRUE
