pseudo_treated_state,outcome,channel_slug,period_date,analysis_period,augmented_gap
AC,construction,labor_market,2016-02-01,pre,13.072063489720579
AC,construction,labor_market,2016-03-01,pre,6.169931243609333
AC,construction,labor_market,2016-04-01,pre,-8.179593421713635
AC,construction,labor_market,2016-05-01,pre,-7.436607026615222
AC,construction,labor_market,2016-06-01,pre,12.459577727576573
AC,construction,labor_market,2016-07-01,pre,-1.2879006776586355
AC,construction,labor_market,2016-08-01,pre,-15.336859948537347
AC,construction,labor_market,2016-09-01,pre,-7.552844604815899
AC,construction,labor_market,2016-10-01,pre,0.5173125356809285
AC,construction,labor_market,2016-11-01,pre,9.897473346077213
AC,construction,labor_market,2016-12-01,pre,-5.686813837510966
AC,construction,labor_market,2017-01-01,pre,9.334573038047218
AC,construction,labor_market,2017-02-01,pre,-1.293558885415048
AC,construction,labor_market,2017-03-01,pre,1.3783479900488358
AC,construction,labor_market,2017-04-01,pre,0.5550663726998257
AC,construction,labor_market,2017-05-01,pre,8.790254058393323
AC,construction,labor_market,2017-06-01,pre,3.840143243337665
AC,construction,labor_market,2017-07-01,pre,1.1512985533516211
AC,construction,labor_market,2017-08-01,pre,5.537618505255164
AC,construction,labor_market,2017-09-01,pre,-0.4375343238035694
AC,construction,labor_market,2017-10-01,pre,3.187564970659974
AC,construction,labor_market,2017-11-01,pre,5.297597434097883
AC,construction,labor_market,2017-12-01,pre,-4.674232116070911
AC,construction,labor_market,2018-01-01,pre,-8.032159162463877
AC,construction,labor_market,2018-02-01,pre,-9.05837391580717
AC,construction,labor_market,2018-03-01,post,-5.910274659871412
AC,construction,labor_market,2018-04-01,post,-3.5502162591809197
AC,construction,labor_market,2018-05-01,post,-18.92203618050036
AC,construction,labor_market,2018-06-01,post,-2.7566383853909886
AC,construction,labor_market,2018-07-01,post,15.425786500524493
AC,construction,labor_market,2018-08-01,post,1.6208436017452614
AC,construction,labor_market,2018-09-01,post,-6.81605104763741
AC,construction,labor_market,2018-10-01,post,-4.669239744918177
AC,construction,labor_market,2018-11-01,post,-4.1656651053126845
