year,bimester,uf,annex_name,no_anexo,rows,status,error_message,downloaded_at
2015,3,22,annex02,RREO-Anexo 02,1055,downloaded,,2026-05-28
2015,3,22,annex06,RREO-Anexo 06,156,downloaded,,2026-05-28
2015,3,23,annex01,RREO-Anexo 01,516,downloaded,,2026-05-28
2015,3,23,annex02,RREO-Anexo 02,1321,downloaded,,2026-05-28
2015,3,23,annex06,RREO-Anexo 06,163,downloaded,,2026-05-28
2015,3,24,annex01,RREO-Anexo 01,429,downloaded,,2026-05-28
2015,3,24,annex02,RREO-Anexo 02,1114,downloaded,,2026-05-28
2015,3,24,annex06,RREO-Anexo 06,167,downloaded,,2026-05-28
2015,3,25,annex01,RREO-Anexo 01,535,downloaded,,2026-05-28
2015,3,25,annex02,RREO-Anexo 02,1310,downloaded,,2026-05-28
2015,3,25,annex06,RREO-Anexo 06,166,downloaded,,2026-05-28
2015,3,26,annex01,RREO-Anexo 01,599,downloaded,,2026-05-28
2015,3,26,annex02,RREO-Anexo 02,1345,downloaded,,2026-05-28
2015,3,26,annex06,RREO-Anexo 06,167,downloaded,,2026-05-28
2015,3,27,annex01,RREO-Anexo 01,469,downloaded,,2026-05-28
2015,3,27,annex02,RREO-Anexo 02,1202,downloaded,,2026-05-28
2015,3,27,annex06,RREO-Anexo 06,148,downloaded,,2026-05-28
2015,3,28,annex01,RREO-Anexo 01,453,downloaded,,2026-05-28
2015,3,28,annex02,RREO-Anexo 02,1222,downloaded,,2026-05-28
2015,3,28,annex06,RREO-Anexo 06,157,downloaded,,2026-05-28
2015,3,29,annex01,RREO-Anexo 01,509,downloaded,,2026-05-28
2015,3,29,annex02,RREO-Anexo 02,1430,downloaded,,2026-05-28
2015,3,29,annex06,RREO-Anexo 06,172,downloaded,,2026-05-28
2015,3,31,annex01,RREO-Anexo 01,637,downloaded,,2026-05-28
2015,3,31,annex02,RREO-Anexo 02,1379,downloaded,,2026-05-28
2015,3,31,annex06,RREO-Anexo 06,174,downloaded,,2026-05-28
2015,3,32,annex01,RREO-Anexo 01,563,downloaded,,2026-05-28
2015,3,32,annex02,RREO-Anexo 02,1241,downloaded,,2026-05-28
2015,3,32,annex06,RREO-Anexo 06,161,downloaded,,2026-05-28
2015,3,33,annex01,RREO-Anexo 01,614,downloaded,,2026-05-28
2015,3,33,annex02,RREO-Anexo 02,1330,downloaded,,2026-05-28
2015,3,33,annex06,RREO-Anexo 06,178,downloaded,,2026-05-28
2015,3,35,annex01,RREO-Anexo 01,621,downloaded,,2026-05-28
2015,3,35,annex02,RREO-Anexo 02,1392,downloaded,,2026-05-28
2015,3,35,annex06,RREO-Anexo 06,165,downloaded,,2026-05-28
2015,3,41,annex01,RREO-Anexo 01,497,downloaded,,2026-05-28
2015,3,41,annex02,RREO-Anexo 02,1064,downloaded,,2026-05-28
2015,3,41,annex06,RREO-Anexo 06,165,downloaded,,2026-05-28
2015,3,42,annex01,RREO-Anexo 01,596,downloaded,,2026-05-28
2015,3,42,annex02,RREO-Anexo 02,1225,downloaded,,2026-05-28
2015,3,42,annex06,RREO-Anexo 06,170,downloaded,,2026-05-28
