dropped_donor,period_date,bim_event_time,loo_gap
CE,2019-10-01,5,-0.2664652725369647
CE,2019-12-01,6,0.8582698938219471
CE,2020-02-01,7,0.9734061869487194
CE,2020-04-01,8,-0.16417399750535555
CE,2020-06-01,9,-0.499800942207659
CE,2020-08-01,10,0.0018671815467605768
CE,2020-10-01,11,-0.10107119779804297
DF,2015-08-01,-20,0.09713583880040488
DF,2015-10-01,-19,0.06598313511076181
DF,2015-12-01,-18,0.00816673586705896
DF,2016-02-01,-17,0.01355682995051044
DF,2016-04-01,-16,0.06551491407110444
DF,2016-06-01,-15,0.044030296234623734
DF,2016-08-01,-14,0.09577364032934099
DF,2016-10-01,-13,0.19481592948312887
DF,2016-12-01,-12,0.09972421042972979
DF,2017-02-01,-11,0.03411099798581052
DF,2017-04-01,-10,0.13283467280862293
DF,2017-06-01,-9,0.11304287266093915
DF,2017-08-01,-8,0.05167807857321982
DF,2017-10-01,-7,0.027332269974882806
DF,2017-12-01,-6,0.02445402613251968
DF,2019-02-01,1,-0.6682957696941818
DF,2019-04-01,2,-0.30612383381697406
DF,2019-06-01,3,-0.07358299324227335
DF,2019-08-01,4,-0.2612321684528114
DF,2019-10-01,5,-0.26634254947118396
DF,2019-12-01,6,0.8582315026925151
DF,2020-02-01,7,0.974106944883518
DF,2020-04-01,8,-0.1617856540948912
DF,2020-06-01,9,-0.49689150267059734
DF,2020-08-01,10,0.004658006759291844
DF,2020-10-01,11,-0.09848014852180764
ES,2015-08-01,-20,0.09658250861399598
ES,2015-10-01,-19,0.06553143947466111
ES,2015-12-01,-18,0.007893412198293426
ES,2016-02-01,-17,0.013478552011412681
ES,2016-04-01,-16,0.0652869495916617
ES,2016-06-01,-15,0.04350621801557697
ES,2016-08-01,-14,0.09527214056851996
ES,2016-10-01,-13,0.1945108223658023
ES,2016-12-01,-12,0.09957215406631192
ES,2017-02-01,-11,0.034161094378482026
ES,2017-04-01,-10,0.13285851319301045
ES,2017-06-01,-9,0.11290790893353098
ES,2017-08-01,-8,0.051490419781012875
ES,2017-10-01,-7,0.027179910267690843
ES,2017-12-01,-6,0.024405711728474166
ES,2019-02-01,1,-0.661862582295127
ES,2019-04-01,2,-0.3059273624409826
ES,2019-06-01,3,-0.07347247610767482
ES,2019-08-01,4,-0.26103060329039884
ES,2019-10-01,5,-0.2661736358632929
ES,2019-12-01,6,0.858618544857781
ES,2020-02-01,7,0.9738822075305755
ES,2020-04-01,8,-0.1634669940393758
ES,2020-06-01,9,-0.49901614456530385
ES,2020-08-01,10,0.0026377564272896947
ES,2020-10-01,11,-0.10035051857499866
GO,2015-08-01,-20,0.09787464229133214
GO,2015-10-01,-19,0.06678490325696185
GO,2015-12-01,-18,0.009079221177097807
GO,2016-02-01,-17,0.014644389450161555
GO,2016-04-01,-16,0.06655577497685439
GO,2016-06-01,-15,0.0448372804549626
GO,2016-08-01,-14,0.09666294661474506
GO,2016-10-01,-13,0.19591704421680944
GO,2016-12-01,-12,0.10086756836278976
GO,2017-02-01,-11,0.03531907959242897
GO,2017-04-01,-10,0.13409908100743007
GO,2017-06-01,-9,0.11416495526899784
GO,2017-08-01,-8,0.05264978232328321
GO,2017-10-01,-7,0.02831995792030728
GO,2017-12-01,-6,0.025590310000707994
GO,2019-02-01,1,-0.6609714867426373
GO,2019-04-01,2,-0.30487804354673465
GO,2019-06-01,3,-0.07213841109035712
GO,2019-08-01,4,-0.26006772643665244
GO,2019-10-01,5,-0.2652799205238603
GO,2019-12-01,6,0.8597792404189484
GO,2020-02-01,7,0.9750915323083813
GO,2020-04-01,8,-0.16234250697994668
GO,2020-06-01,9,-0.49789666702614355
GO,2020-08-01,10,0.003769785279569504
GO,2020-10-01,11,-0.09928228677377415
MA,2015-08-01,-20,0.09362372891332349
MA,2015-10-01,-19,0.06269061082832739
MA,2015-12-01,-18,0.005259137171337969
MA,2016-02-01,-17,0.010954463498437761
MA,2016-04-01,-16,0.06249054371722185
MA,2016-06-01,-15,0.04047416914644053
MA,2016-08-01,-14,0.0921199340465444
MA,2016-10-01,-13,0.19139347392332517
MA,2016-12-01,-12,0.09674503404099255
MA,2017-02-01,-11,0.03169819214301928
MA,2017-04-01,-10,0.1302096579673826
MA,2017-06-01,-9,0.1101688743210536
MA,2017-08-01,-8,0.048942395790031235
MA,2017-10-01,-7,0.024685455523500544
MA,2017-12-01,-6,0.021851796400789603
MA,2019-02-01,1,-0.6615477586419196
MA,2019-04-01,2,-0.30810692969116893
MA,2019-06-01,3,-0.07629163037892805
MA,2019-08-01,4,-0.2630232652317046
MA,2019-10-01,5,-0.268029449944847
MA,2019-12-01,6,0.856266290979427
MA,2020-02-01,7,0.9712143576353949
MA,2020-04-01,8,-0.16645655892735167
MA,2020-06-01,9,-0.5021481916493862
MA,2020-08-01,10,-4.850942490630672e-4
MA,2020-10-01,11,-0.10328492546556145
MG,2015-08-01,-20,0.10481167816263781
MG,2015-10-01,-19,0.07357751342668983
MG,2015-12-01,-18,0.015619565822132309
MG,2016-02-01,-17,0.021216011029976833
MG,2016-04-01,-16,0.07360189360550429
MG,2016-06-01,-15,0.05201741574946439
MG,2016-08-01,-14,0.10419959284774993
MG,2016-10-01,-13,0.2036872044539706
MG,2016-12-01,-12,0.10812126227711527
MG,2017-02-01,-11,0.04194138399474845
MG,2017-04-01,-10,0.14117150813125878
MG,2017-06-01,-9,0.12121315623695228
MG,2017-08-01,-8,0.059103352534409126
MG,2017-10-01,-7,0.034689904908860036
MG,2017-12-01,-6,0.03229087072655812
MG,2019-02-01,1,-0.6511265587783379
MG,2019-04-01,2,-0.29876498661826645
MG,2019-06-01,3,-0.06446992486933034
MG,2019-08-01,4,-0.25444245559148904
MG,2019-10-01,5,-0.26007219799625947
MG,2019-12-01,6,0.8666671873083995
MG,2020-02-01,7,0.9818016861375582
MG,2020-04-01,8,-0.15719653085811824
MG,2020-06-01,9,-0.4931083924607673
MG,2020-08-01,10,0.008706960651223561
MG,2020-10-01,11,-0.0945965981702015
MS,2015-08-01,-20,0.09708899511957636
MS,2015-10-01,-19,0.06600539382200221
MS,2015-12-01,-18,0.008310336139736307
MS,2016-02-01,-17,0.013849560923254067
MS,2016-04-01,-16,0.06571989032272807
MS,2016-06-01,-15,0.04401858517621182
MS,2016-08-01,-14,0.09579808985103266
MS,2016-10-01,-13,0.19500135775235705
MS,2016-12-01,-12,0.09999768933774877
MS,2017-02-01,-11,0.034503494836880755
MS,2017-04-01,-10,0.13323142396997234
MS,2017-06-01,-9,0.1133182695872712
MS,2017-08-01,-8,0.05188179528196635
