transfer_sheet,transfer_scope,transfer_variable,competencia,period_date,year,month,state_abbrev,state_name,macroregion,state_name_raw,transfer_value_nominal
FPE,states_direct,fpe,199106,1991-06-01,1991,6,MA,Maranhao,Northeast,Maranhão,8545249303.95
FPE,states_direct,fpe,199106,1991-06-01,1991,6,MG,Minas Gerais,Southeast,Minas Gerais,5273449478.32
FPE,states_direct,fpe,199106,1991-06-01,1991,6,MS,Mato Grosso do Sul,Center-West,Mato Grosso do Sul,1576885106.07
FPE,states_direct,fpe,199106,1991-06-01,1991,6,MT,Mato Grosso,Center-West,Mato Grosso,2732202054.34
FPE,states_direct,fpe,199106,1991-06-01,1991,6,PA,Para,North,Pará,7235677003.37
FPE,states_direct,fpe,199106,1991-06-01,1991,6,PB,Paraiba,Northeast,Paraíba,5669328141.59
FPE,states_direct,fpe,199106,1991-06-01,1991,6,PE,Pernambuco,Northeast,Pernambuco,8168785742.58
FPE,states_direct,fpe,199106,1991-06-01,1991,6,PI,Piaui,Northeast,Piauí,5115879352.48
FPE,states_direct,fpe,199106,1991-06-01,1991,6,PR,Parana,South,Paraná,3413269623.07
FPE,states_direct,fpe,199106,1991-06-01,1991,6,RJ,Rio de Janeiro,Southeast,Rio de Janeiro,1808564096.53
FPE,states_direct,fpe,199106,1991-06-01,1991,6,RN,Rio Grande do Norte,Northeast,Rio Grande do Norte,4945997210.8
FPE,states_direct,fpe,199106,1991-06-01,1991,6,RO,Rondonia,North,Rondônia,3333241520.08
FPE,states_direct,fpe,199106,1991-06-01,1991,6,RR,Roraima,North,Roraima,2936770932.97
FPE,states_direct,fpe,199106,1991-06-01,1991,6,RS,Rio Grande do Sul,South,Rio Grande do Sul,2787724510.4
FPE,states_direct,fpe,199106,1991-06-01,1991,6,SC,Santa Catarina,South,Santa Catarina,1515088257.34
FPE,states_direct,fpe,199106,1991-06-01,1991,6,SE,Sergipe,Northeast,Sergipe,4919242253.28
FPE,states_direct,fpe,199106,1991-06-01,1991,6,SP,Sao Paulo,Southeast,São Paulo,1183847677.25
FPE,states_direct,fpe,199106,1991-06-01,1991,6,TO,Tocantins,North,Tocantins,5137898919.28
FPE,states_direct,fpe,199107,1991-07-01,1991,7,AC,Acre,North,Acre,4410793177.3
FPE,states_direct,fpe,199107,1991-07-01,1991,7,AL,Alagoas,Northeast,Alagoas,5363735953.47
FPE,states_direct,fpe,199107,1991-07-01,1991,7,AM,Amazonas,North,Amazonas,3597742555.37
FPE,states_direct,fpe,199107,1991-07-01,1991,7,AP,Amapa,North,Amapá,4399189219.79
FPE,states_direct,fpe,199107,1991-07-01,1991,7,BA,Bahia,Northeast,Bahia,12114789492.08
FPE,states_direct,fpe,199107,1991-07-01,1991,7,CE,Ceara,Northeast,Ceará,9459675084.02
FPE,states_direct,fpe,199107,1991-07-01,1991,7,DF,Distrito Federal,Center-West,Distrito Federal,889894607.13
FPE,states_direct,fpe,199107,1991-07-01,1991,7,ES,Espirito Santo,Southeast,Espírito Santo,1933992916.08
FPE,states_direct,fpe,199107,1991-07-01,1991,7,GO,Goias,Center-West,Goiás,3665690173.16
FPE,states_direct,fpe,199107,1991-07-01,1991,7,MA,Maranhao,Northeast,Maranhão,9306631777.93
FPE,states_direct,fpe,199107,1991-07-01,1991,7,MG,Minas Gerais,Southeast,Minas Gerais,5743314296.48
FPE,states_direct,fpe,199107,1991-07-01,1991,7,MS,Mato Grosso do Sul,Center-West,Mato Grosso do Sul,1717385709.49
FPE,states_direct,fpe,199107,1991-07-01,1991,7,MT,Mato Grosso,Center-West,Mato Grosso,2975641500.68
FPE,states_direct,fpe,199107,1991-07-01,1991,7,PA,Para,North,Pará,7880376468.75
