competencia,period_date,year,month,uf,state_abbrev,state_name,macroregion,formal_hiring_balance,source_regime,source_component,post_2020_caged_dummy,caged_method_break_dummy,series_version
200707,2007-07-01,2007,7,29,BA,Bahia,Northeast,6387,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200707,2007-07-01,2007,7,31,MG,Minas Gerais,Southeast,630,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200707,2007-07-01,2007,7,32,ES,Espirito Santo,Southeast,1736,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200707,2007-07-01,2007,7,33,RJ,Rio de Janeiro,Southeast,8737,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200707,2007-07-01,2007,7,35,SP,Sao Paulo,Southeast,59407,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200707,2007-07-01,2007,7,41,PR,Parana,South,10068,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200707,2007-07-01,2007,7,42,SC,Santa Catarina,South,3315,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200707,2007-07-01,2007,7,43,RS,Rio Grande do Sul,South,-1690,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200707,2007-07-01,2007,7,50,MS,Mato Grosso do Sul,Center-West,-1674,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200707,2007-07-01,2007,7,51,MT,Mato Grosso,Center-West,1889,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200707,2007-07-01,2007,7,52,GO,Goias,Center-West,2788,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200707,2007-07-01,2007,7,53,DF,Distrito Federal,Center-West,2172,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200708,2007-08-01,2007,8,11,RO,Rondonia,North,795,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200708,2007-08-01,2007,8,12,AC,Acre,North,-53,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
