competencia,year,month,uf,formal_hiring_balance,source_series,source_archive,source_regime,source_component,series_version,period_date,post_2020_caged_dummy,caged_method_break_dummy,state_abbrev,state_name,macroregion,is_identified_uf,include_in_panel,uf_mapping_status
200703,2007,3,50,5523,old_caged_complete_ftp_integrity_ok,CAGEDEST_032007.7z,old_caged,complete,old_complete_novo_mov_for_exc_v1,2007-03-01,0,0,MS,Mato Grosso do Sul,Center-West,TRUE,TRUE,mapped
200703,2007,3,51,3244,old_caged_complete_ftp_integrity_ok,CAGEDEST_032007.7z,old_caged,complete,old_complete_novo_mov_for_exc_v1,2007-03-01,0,0,MT,Mato Grosso,Center-West,TRUE,TRUE,mapped
200703,2007,3,52,7097,old_caged_complete_ftp_integrity_ok,CAGEDEST_032007.7z,old_caged,complete,old_complete_novo_mov_for_exc_v1,2007-03-01,0,0,GO,Goias,Center-West,TRUE,TRUE,mapped
200703,2007,3,53,-3079,old_caged_complete_ftp_integrity_ok,CAGEDEST_032007.7z,old_caged,complete,old_complete_novo_mov_for_exc_v1,2007-03-01,0,0,DF,Distrito Federal,Center-West,TRUE,TRUE,mapped
200704,2007,4,11,1232,old_caged_complete_ftp_integrity_ok,CAGEDEST_042007.7z,old_caged,complete,old_complete_novo_mov_for_exc_v1,2007-04-01,0,0,RO,Rondonia,North,TRUE,TRUE,mapped
200704,2007,4,12,397,old_caged_complete_ftp_integrity_ok,CAGEDEST_042007.7z,old_caged,complete,old_complete_novo_mov_for_exc_v1,2007-04-01,0,0,AC,Acre,North,TRUE,TRUE,mapped
200704,2007,4,13,3162,old_caged_complete_ftp_integrity_ok,CAGEDEST_042007.7z,old_caged,complete,old_complete_novo_mov_for_exc_v1,2007-04-01,0,0,AM,Amazonas,North,TRUE,TRUE,mapped
200704,2007,4,14,69,old_caged_complete_ftp_integrity_ok,CAGEDEST_042007.7z,old_caged,complete,old_complete_novo_mov_for_exc_v1,2007-04-01,0,0,RR,Roraima,North,TRUE,TRUE,mapped
200704,2007,4,15,3482,old_caged_complete_ftp_integrity_ok,CAGEDEST_042007.7z,old_caged,complete,old_complete_novo_mov_for_exc_v1,2007-04-01,0,0,PA,Para,North,TRUE,TRUE,mapped
200704,2007,4,16,120,old_caged_complete_ftp_integrity_ok,CAGEDEST_042007.7z,old_caged,complete,old_complete_novo_mov_for_exc_v1,2007-04-01,0,0,AP,Amapa,North,TRUE,TRUE,mapped
200704,2007,4,17,1511,old_caged_complete_ftp_integrity_ok,CAGEDEST_042007.7z,old_caged,complete,old_complete_novo_mov_for_exc_v1,2007-04-01,0,0,TO,Tocantins,North,TRUE,TRUE,mapped
200704,2007,4,21,2315,old_caged_complete_ftp_integrity_ok,CAGEDEST_042007.7z,old_caged,complete,old_complete_novo_mov_for_exc_v1,2007-04-01,0,0,MA,Maranhao,Northeast,TRUE,TRUE,mapped
200704,2007,4,22,1146,old_caged_complete_ftp_integrity_ok,CAGEDEST_042007.7z,old_caged,complete,old_complete_novo_mov_for_exc_v1,2007-04-01,0,0,PI,Piaui,Northeast,TRUE,TRUE,mapped
200704,2007,4,23,4033,old_caged_complete_ftp_integrity_ok,CAGEDEST_042007.7z,old_caged,complete,old_complete_novo_mov_for_exc_v1,2007-04-01,0,0,CE,Ceara,Northeast,TRUE,TRUE,mapped
200704,2007,4,24,1138,old_caged_complete_ftp_integrity_ok,CAGEDEST_042007.7z,old_caged,complete,old_complete_novo_mov_for_exc_v1,2007-04-01,0,0,RN,Rio Grande do Norte,Northeast,TRUE,TRUE,mapped
200704,2007,4,25,2104,old_caged_complete_ftp_integrity_ok,CAGEDEST_042007.7z,old_caged,complete,old_complete_novo_mov_for_exc_v1,2007-04-01,0,0,PB,Paraiba,Northeast,TRUE,TRUE,mapped
200704,2007,4,26,4735,old_caged_complete_ftp_integrity_ok,CAGEDEST_042007.7z,old_caged,complete,old_complete_novo_mov_for_exc_v1,2007-04-01,0,0,PE,Pernambuco,Northeast,TRUE,TRUE,mapped
200704,2007,4,27,-6792,old_caged_complete_ftp_integrity_ok,CAGEDEST_042007.7z,old_caged,complete,old_complete_novo_mov_for_exc_v1,2007-04-01,0,0,AL,Alagoas,Northeast,TRUE,TRUE,mapped
200704,2007,4,28,1155,old_caged_complete_ftp_integrity_ok,CAGEDEST_042007.7z,old_caged,complete,old_complete_novo_mov_for_exc_v1,2007-04-01,0,0,SE,Sergipe,Northeast,TRUE,TRUE,mapped
200704,2007,4,29,10592,old_caged_complete_ftp_integrity_ok,CAGEDEST_042007.7z,old_caged,complete,old_complete_novo_mov_for_exc_v1,2007-04-01,0,0,BA,Bahia,Northeast,TRUE,TRUE,mapped
200704,2007,4,31,38773,old_caged_complete_ftp_integrity_ok,CAGEDEST_042007.7z,old_caged,complete,old_complete_novo_mov_for_exc_v1,2007-04-01,0,0,MG,Minas Gerais,Southeast,TRUE,TRUE,mapped
200704,2007,4,32,10793,old_caged_complete_ftp_integrity_ok,CAGEDEST_042007.7z,old_caged,complete,old_complete_novo_mov_for_exc_v1,2007-04-01,0,0,ES,Espirito Santo,Southeast,TRUE,TRUE,mapped
200704,2007,4,33,19586,old_caged_complete_ftp_integrity_ok,CAGEDEST_042007.7z,old_caged,complete,old_complete_novo_mov_for_exc_v1,2007-04-01,0,0,RJ,Rio de Janeiro,Southeast,TRUE,TRUE,mapped
200704,2007,4,35,129420,old_caged_complete_ftp_integrity_ok,CAGEDEST_042007.7z,old_caged,complete,old_complete_novo_mov_for_exc_v1,2007-04-01,0,0,SP,Sao Paulo,Southeast,TRUE,TRUE,mapped
200704,2007,4,41,27478,old_caged_complete_ftp_integrity_ok,CAGEDEST_042007.7z,old_caged,complete,old_complete_novo_mov_for_exc_v1,2007-04-01,0,0,PR,Parana,South,TRUE,TRUE,mapped
200704,2007,4,42,9759,old_caged_complete_ftp_integrity_ok,CAGEDEST_042007.7z,old_caged,complete,old_complete_novo_mov_for_exc_v1,2007-04-01,0,0,SC,Santa Catarina,South,TRUE,TRUE,mapped
200704,2007,4,43,15008,old_caged_complete_ftp_integrity_ok,CAGEDEST_042007.7z,old_caged,complete,old_complete_novo_mov_for_exc_v1,2007-04-01,0,0,RS,Rio Grande do Sul,South,TRUE,TRUE,mapped
200704,2007,4,50,4513,old_caged_complete_ftp_integrity_ok,CAGEDEST_042007.7z,old_caged,complete,old_complete_novo_mov_for_exc_v1,2007-04-01,0,0,MS,Mato Grosso do Sul,Center-West,TRUE,TRUE,mapped
200704,2007,4,51,5086,old_caged_complete_ftp_integrity_ok,CAGEDEST_042007.7z,old_caged,complete,old_complete_novo_mov_for_exc_v1,2007-04-01,0,0,MT,Mato Grosso,Center-West,TRUE,TRUE,mapped
200704,2007,4,52,7329,old_caged_complete_ftp_integrity_ok,CAGEDEST_042007.7z,old_caged,complete,old_complete_novo_mov_for_exc_v1,2007-04-01,0,0,GO,Goias,Center-West,TRUE,TRUE,mapped
200704,2007,4,53,3847,old_caged_complete_ftp_integrity_ok,CAGEDEST_042007.7z,old_caged,complete,old_complete_novo_mov_for_exc_v1,2007-04-01,0,0,DF,Distrito Federal,Center-West,TRUE,TRUE,mapped
200705,2007,5,11,1514,old_caged_complete_ftp_integrity_ok,CAGEDEST_052007.7z,old_caged,complete,old_complete_novo_mov_for_exc_v1,2007-05-01,0,0,RO,Rondonia,North,TRUE,TRUE,mapped
200705,2007,5,12,1,old_caged_complete_ftp_integrity_ok,CAGEDEST_052007.7z,old_caged,complete,old_complete_novo_mov_for_exc_v1,2007-05-01,0,0,AC,Acre,North,TRUE,TRUE,mapped
200705,2007,5,13,2109,old_caged_complete_ftp_integrity_ok,CAGEDEST_052007.7z,old_caged,complete,old_complete_novo_mov_for_exc_v1,2007-05-01,0,0,AM,Amazonas,North,TRUE,TRUE,mapped
200705,2007,5,14,405,old_caged_complete_ftp_integrity_ok,CAGEDEST_052007.7z,old_caged,complete,old_complete_novo_mov_for_exc_v1,2007-05-01,0,0,RR,Roraima,North,TRUE,TRUE,mapped
200705,2007,5,15,2397,old_caged_complete_ftp_integrity_ok,CAGEDEST_052007.7z,old_caged,complete,old_complete_novo_mov_for_exc_v1,2007-05-01,0,0,PA,Para,North,TRUE,TRUE,mapped
200705,2007,5,16,249,old_caged_complete_ftp_integrity_ok,CAGEDEST_052007.7z,old_caged,complete,old_complete_novo_mov_for_exc_v1,2007-05-01,0,0,AP,Amapa,North,TRUE,TRUE,mapped
200705,2007,5,17,1234,old_caged_complete_ftp_integrity_ok,CAGEDEST_052007.7z,old_caged,complete,old_complete_novo_mov_for_exc_v1,2007-05-01,0,0,TO,Tocantins,North,TRUE,TRUE,mapped
