period,period_date,year,uf,state_abbrev,state_name,macroregion,population,source_system,source_frequency,reference_date_rule,source_table_id,observation_status,imputation_rule
2006,2006-07-01,2006,31,MG,Minas Gerais,Southeast,19479356,SIDRA/EstimaPop,annual,1 July,6579,observed,
2006,2006-07-01,2006,50,MS,Mato Grosso do Sul,Center-West,2297981,SIDRA/EstimaPop,annual,1 July,6579,observed,
2006,2006-07-01,2006,51,MT,Mato Grosso,Center-West,2856999,SIDRA/EstimaPop,annual,1 July,6579,observed,
2006,2006-07-01,2006,15,PA,Para,North,7110465,SIDRA/EstimaPop,annual,1 July,6579,observed,
2006,2006-07-01,2006,25,PB,Paraiba,Northeast,3623215,SIDRA/EstimaPop,annual,1 July,6579,observed,
2006,2006-07-01,2006,26,PE,Pernambuco,Northeast,8502603,SIDRA/EstimaPop,annual,1 July,6579,observed,
2006,2006-07-01,2006,22,PI,Piaui,Northeast,3036290,SIDRA/EstimaPop,annual,1 July,6579,observed,
2006,2006-07-01,2006,41,PR,Parana,South,10387378,SIDRA/EstimaPop,annual,1 July,6579,observed,
2006,2006-07-01,2006,33,RJ,Rio de Janeiro,Southeast,15561720,SIDRA/EstimaPop,annual,1 July,6579,observed,
2006,2006-07-01,2006,24,RN,Rio Grande do Norte,Northeast,3043760,SIDRA/EstimaPop,annual,1 July,6579,observed,
2006,2006-07-01,2006,11,RO,Rondonia,North,1562417,SIDRA/EstimaPop,annual,1 July,6579,observed,
2006,2006-07-01,2006,14,RR,Roraima,North,403344,SIDRA/EstimaPop,annual,1 July,6579,observed,
2006,2006-07-01,2006,43,RS,Rio Grande do Sul,South,10963219,SIDRA/EstimaPop,annual,1 July,6579,observed,
2006,2006-07-01,2006,42,SC,Santa Catarina,South,5958266,SIDRA/EstimaPop,annual,1 July,6579,observed,
2006,2006-07-01,2006,28,SE,Sergipe,Northeast,2000738,SIDRA/EstimaPop,annual,1 July,6579,observed,
2006,2006-07-01,2006,35,SP,Sao Paulo,Southeast,41055734,SIDRA/EstimaPop,annual,1 July,6579,observed,
2006,2006-07-01,2006,17,TO,Tocantins,North,1332441,SIDRA/EstimaPop,annual,1 July,6579,observed,
2007,2007-07-01,2007,12,AC,Acre,North,655385,SIDRA/Contagem2007,annual,31 August,793,observed,
2007,2007-07-01,2007,27,AL,Alagoas,Northeast,3037103,SIDRA/Contagem2007,annual,31 August,793,observed,
