competencia,period_date,year,month,uf,state_abbrev,state_name,macroregion,formal_hiring_balance_construction,source_regime,source_component,post_2020_caged_dummy,caged_method_break_dummy,series_version
200704,2007-04-01,2007,4,29,BA,Bahia,Northeast,1028,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200704,2007-04-01,2007,4,23,CE,Ceara,Northeast,594,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200704,2007-04-01,2007,4,53,DF,Distrito Federal,Center-West,125,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200704,2007-04-01,2007,4,32,ES,Espirito Santo,Southeast,285,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200704,2007-04-01,2007,4,52,GO,Goias,Center-West,281,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200704,2007-04-01,2007,4,21,MA,Maranhao,Northeast,152,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200704,2007-04-01,2007,4,31,MG,Minas Gerais,Southeast,2239,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200704,2007-04-01,2007,4,50,MS,Mato Grosso do Sul,Center-West,90,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200704,2007-04-01,2007,4,51,MT,Mato Grosso,Center-West,176,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200704,2007-04-01,2007,4,15,PA,Para,North,10,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200704,2007-04-01,2007,4,25,PB,Paraiba,Northeast,279,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200704,2007-04-01,2007,4,26,PE,Pernambuco,Northeast,197,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200704,2007-04-01,2007,4,22,PI,Piaui,Northeast,123,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200704,2007-04-01,2007,4,41,PR,Parana,South,565,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
