event_id,outcome,short,channel,family,gap_post,pct_effect,effect_display,effect_for_plot,effect_label,mag_sd,persistence,pre_trend_p,treated_pre_rmspe,median_donor_pre_rmspe,prefit_class,rank,n_units,classic_p,loo_frac_same_sign,C1_prefit,C2_magnitude,C3_persistence,C4_placebo,C5_robust,robustness_score,tier,considerable,direction,regime,removal_date,main_sample,timing
AM_2017_01,tax_confaz,Tax revenue,public_sector,monthly,0.021475836864394804,2.1708102367687276,pct,2.1708102367687276,+2.2%,0.17318247409353704,0.7916666666666666,0.08366205419890212,0.07312842647342682,0.08770165960889514,C,23,25,0.92,0.9583333333333334,FALSE,FALSE,TRUE,FALSE,TRUE,2,non-interpretable,FALSE,positive,confaz,2017-05-04,1,earlier
TO_2018_01,retail,Retail volume,consumption,monthly,8.506857408234229,8.56876193453306,pct,8.56876193453306,+8.6%,1.6483412096508119,0.9583333333333334,0.47391663715133836,4.0268894645499165,2.2793329043526356,D,3,25,0.12,1,FALSE,TRUE,TRUE,TRUE,TRUE,4,non-interpretable,FALSE,positive,confaz,2018-03-22,1,last-year
TO_2018_01,services,Services volume,consumption,monthly,-0.8558735902927926,-1.068057173160327,pct,-1.068057173160327,-1.1%,0.10101312714981296,0.75,0.636636706762099,8.844154446323753,2.7113278286608824,D,25,25,1,1,FALSE,FALSE,TRUE,FALSE,TRUE,2,non-interpretable,FALSE,negative,confaz,2018-03-22,1,last-year
TO_2018_01,formal_hiring,Formal hiring,labor_market,monthly,-1.3103277582595905,,absolute,-1.3103277582595905,-1.3,0.058600302583021756,0.5833333333333334,0.761275023206697,24.77736858933522,33.60656287967221,B,11,25,0.44,1,TRUE,FALSE,FALSE,FALSE,TRUE,2,weak,FALSE,negative,confaz,2018-03-22,1,last-year
TO_2018_01,construction,Construction,labor_market,monthly,-8.211871811976792,,absolute,-8.211871811976792,-8.2,0.5184419958440024,0.7083333333333334,0.9459599690243572,16.858644423400662,9.264745225816883,D,1,25,0.04,1,FALSE,FALSE,TRUE,TRUE,TRUE,3,non-interpretable,FALSE,negative,confaz,2018-03-22,1,last-year
TO_2018_01,icms_confaz,ICMS,public_sector,monthly,0.06036114250326759,6.222009010661234,pct,6.222009010661234,+6.2%,1.031385225510125,0.875,0.07005817490479212,0.0654574967858478,0.07631731535033746,C,9,25,0.36,1,FALSE,TRUE,TRUE,FALSE,TRUE,3,non-interpretable,FALSE,positive,confaz,2018-03-22,1,last-year
TO_2018_01,tax_confaz,Tax revenue,public_sector,monthly,0.03474602257165652,3.5356718167496304,pct,3.5356718167496304,+3.5%,0.6117424730550308,0.7083333333333334,0.2988620726632077,0.07893332245931267,0.08589689378127088,B,15,25,0.6,1,TRUE,FALSE,TRUE,FALSE,TRUE,3,weak,FALSE,positive,confaz,2018-03-22,1,last-year
RR_2018_01,retail,Retail volume,consumption,monthly,-5.762579328952611,-6.4929237704294875,pct,-6.4929237704294875,-6.5%,1.5458137827844254,0.875,0.8064102005006983,4.17123066834808,2.6368431232666287,D,10,23,0.43478260869565216,1,FALSE,TRUE,TRUE,FALSE,TRUE,3,non-interpretable,FALSE,negative,siconfi,2018-12-10,0,last-year
RR_2018_01,services,Services volume,consumption,monthly,1.4930789789554118,1.9957363726327273,pct,1.9957363726327273,+2.0%,0.24400888954379765,0.625,0.35310289084610513,4.362726172173071,2.7841923712027787,D,11,23,0.4782608695652174,0,FALSE,FALSE,TRUE,FALSE,FALSE,1,non-interpretable,FALSE,positive,siconfi,2018-12-10,0,last-year
RR_2018_01,formal_hiring,Formal hiring,labor_market,monthly,12.64332366885348,,absolute,12.64332366885348,+12.6,0.4664365462372117,0.6666666666666666,0.04805990912808862,26.796649348297475,24.640330651119882,C,10,23,0.43478260869565216,1,FALSE,FALSE,TRUE,FALSE,TRUE,2,non-interpretable,FALSE,positive,siconfi,2018-12-10,0,last-year
RR_2018_01,construction,Construction,labor_market,monthly,6.376285593052156,,absolute,6.376285593052156,+6.4,0.4242744308547321,0.625,0.8406301864330763,15.722063922125596,8.821539948555664,D,2,23,0.08695652173913043,1,FALSE,FALSE,TRUE,TRUE,TRUE,3,non-interpretable,FALSE,positive,siconfi,2018-12-10,0,last-year
RR_2018_01,icms_siconfi,ICMS,public_sector,bimonthly,0.07547036066861446,7.839126444831845,pct,7.839126444831845,+7.8%,0.2398783282178747,0.6666666666666666,0.9321618547456443,0.26466546965923987,0.08245026666291341,D,10,22,0.45454545454545453,0.05263157894736842,FALSE,FALSE,TRUE,FALSE,FALSE,1,non-interpretable,FALSE,positive,siconfi,2018-12-10,0,last-year
RR_2018_01,tax_siconfi,Tax revenue,public_sector,bimonthly,-0.10722694346822108,-10.167821840542324,pct,-10.167821840542324,-10.2%,0.6189509117578688,0.6666666666666666,0.030831234091819662,0.1281317525893738,0.13973006416984945,C,8,23,0.34782608695652173,0.9545454545454546,FALSE,FALSE,TRUE,FALSE,TRUE,2,non-interpretable,FALSE,negative,siconfi,2018-12-10,0,last-year
RR_2018_01,totalexp_siconfi,Total expenditure,public_sector,bimonthly,-0.2592060554249507,-22.833599889306743,pct,-22.833599889306743,-22.8%,1.0350067775111693,0.8333333333333334,0.2835604670384123,0.2553840381280275,0.09871085638626641,D,11,23,0.4782608695652174,1,FALSE,TRUE,TRUE,FALSE,TRUE,3,non-interpretable,FALSE,negative,siconfi,2018-12-10,0,last-year
RJ_2020_01,retail,Retail volume,consumption,monthly,2.8167848541327447,2.772967765050074,pct,2.772967765050074,+2.8%,0.7189715703069822,0.8333333333333334,0.9695515899222706,2.4415859638097683,2.8782828018923574,B,9,23,0.391304347826087,1,TRUE,FALSE,TRUE,FALSE,TRUE,3,weak,FALSE,positive,siconfi,2020-08-28,1,earlier
RJ_2020_01,services,Services volume,consumption,monthly,1.3573262066548193,1.4425927572113082,pct,1.4425927572113082,+1.4%,0.26123538840178684,0.7083333333333334,0.5315434099662696,4.268451135302454,2.4335320099942046,D,23,23,1,1,FALSE,FALSE,TRUE,FALSE,TRUE,2,non-interpretable,FALSE,positive,siconfi,2020-08-28,1,earlier
RJ_2020_01,formal_hiring,Formal hiring,labor_market,monthly,-15.428818787861267,,absolute,-15.428818787861267,-15.4,0.16110154931155055,0.625,0.524734788060288,38.15555227522811,34.72708945600756,C,9,23,0.391304347826087,1,TRUE,FALSE,TRUE,FALSE,TRUE,3,weak,FALSE,negative,siconfi,2020-08-28,1,earlier
RJ_2020_01,construction,Construction,labor_market,monthly,-2.63154612340458,,absolute,-2.63154612340458,-2.6,0.2207618610642727,0.6666666666666666,0.5178351090143383,8.938083862846474,8.595254661264349,C,22,23,0.9565217391304348,0.9545454545454546,TRUE,FALSE,TRUE,FALSE,TRUE,3,weak,FALSE,negative,siconfi,2020-08-28,1,earlier
RJ_2020_01,icms_siconfi,ICMS,public_sector,bimonthly,0.04542700909910853,4.6474618701065395,pct,4.6474618701065395,+4.6%,0.31898530421234567,0.75,0.8368233450271032,0.16437727871463417,0.09153886324444326,D,19,22,0.8636363636363636,0,FALSE,FALSE,TRUE,FALSE,FALSE,1,non-interpretable,FALSE,positive,siconfi,2020-08-28,1,earlier
RJ_2020_01,tax_siconfi,Tax revenue,public_sector,bimonthly,-0.06475316212813624,-6.270120433453341,pct,-6.270120433453341,-6.3%,0.7683218929426616,0.75,0.96478174146814355,0.12160276598560278,0.0933386217617912,C,14,23,0.6086956521739131,1,TRUE,FALSE,TRUE,FALSE,TRUE,3,weak,FALSE,negative,siconfi,2020-08-28,1,earlier
RJ_2020_01,investment_siconfi,Public investment,public_sector,bimonthly,-0.5917693402052842,-44.66526416500409,pct,-44.66526416500409,-44.7%,0.8341697364925736,1,0.928239520935409,0.5607578945766861,0.4825700907919648,C,11,23,0.4782608695652174,1,TRUE,FALSE,TRUE,FALSE,TRUE,3,weak,FALSE,negative,siconfi,2020-08-28,1,earlier
RJ_2020_01,totalexp_siconfi,Total expenditure,public_sector,bimonthly,-0.012859742490569348,-1.2777409307839105,pct,-1.2777409307839105,-1.3%,0.08998870571099236,0.5,0.6374297048756368,0.2167106864593534,0.1322699388745942,D,22,23,0.9565217391304348,1,FALSE,FALSE,FALSE,FALSE,TRUE,1,non-interpretable,FALSE,negative,siconfi,2020-08-28,1,earlier
SC_2020_01,retail,Retail volume,consumption,monthly,3.1598083587060697,3.2780175251661294,pct,3.2780175251661294,+3.3%,0.529968719053472,0.8333333333333334,0.15454769264398976,3.5865706884782864,3.17351024233436,C,10,23,0.43478260869565216,1,TRUE,FALSE,TRUE,FALSE,TRUE,3,weak,FALSE,positive,siconfi,2020-10-24,0,earlier
SC_2020_01,services,Services volume,consumption,monthly,0.05277213988549256,0.05527670461268234,pct,0.05527670461268234,+0.1%,0.014688595578461111,0.5416666666666666,0.7648630155859302,2.4116655863800864,2.4060926259357,B,12,23,0.5217391304347826,0.045454545454545456,TRUE,FALSE,FALSE,FALSE,FALSE,1,weak,FALSE,positive,siconfi,2020-10-24,0,earlier
SC_2020_01,formal_hiring,Formal hiring,labor_market,monthly,9.973029629656871,,absolute,9.973029629656871,+10.0,0.050995337847235485,0.625,0.913278259896535,104.62955695043291,29.42568815875884,D,21,23,0.9130434782608695,1,FALSE,FALSE,TRUE,FALSE,TRUE,2,non-interpretable,FALSE,positive,siconfi,2020-10-24,0,earlier
SC_2020_01,construction,Construction,labor_market,monthly,8.009453543343643,,absolute,8.009453543343643,+8.0,0.5369351970405098,0.875,0.488020431809284,7.756099970426987,8.446710877276235,B,7,23,0.30434782608695654,1,TRUE,FALSE,TRUE,FALSE,TRUE,3,weak,FALSE,positive,siconfi,2020-10-24,0,earlier
SC_2020_01,icms_siconfi,ICMS,public_sector,bimonthly,-0.03078273986455023,-3.031377564741844,pct,-3.031377564741844,-3.0%,0.3855623111166528,0.5,0.1595310270535627,0.07503260947641588,0.09362601567087284,B,10,22,0.45454545454545453,0.85,TRUE,FALSE,FALSE,FALSE,TRUE,2,weak,FALSE,negative,siconfi,2020-10-24,0,earlier
SC_2020_01,tax_siconfi,Tax revenue,public_sector,bimonthly,0.019767661377767014,1.996433538674558,pct,1.996433538674558,+2.0%,0.2616614284788895,0.5,0.01960912263315326,0.09931365361814956,0.09303287136961472,C,17,23,0.7391304347826086,0.9545454545454546,FALSE,FALSE,FALSE,FALSE,TRUE,1,non-interpretable,FALSE,positive,siconfi,2020-10-24,0,earlier
SC_2020_01,investment_siconfi,Public investment,public_sector,bimonthly,0.04486931095179852,4.58911644558071,pct,4.58911644558071,+4.6%,0.07661722227810892,0.45454545454545453,0.1535378425214823,0.4659433731025251,0.47918565847161493,B,10,23,0.43478260869565216,0.9090909090909091,TRUE,FALSE,FALSE,FALSE,TRUE,2,weak,FALSE,positive,siconfi,2020-10-24,0,earlier
SC_2020_01,totalexp_siconfi,Total expenditure,public_sector,bimonthly,0.15019772918527594,16.206399398003878,pct,16.206399398003878,+16.2%,0.8603917504036639,0.9166666666666666,0.7727669256986129,0.184871844634072,0.12006297544668171,D,15,23,0.6521739130434783,0.9523809523809523,FALSE,FALSE,TRUE,FALSE,TRUE,2,non-interpretable,FALSE,positive,siconfi,2020-10-24,0,earlier
SC_2021_01,retail,Retail volume,consumption,monthly,0.9532531154395555,0.9617785243426614,pct,0.9617785243426614,+1.0%,0.16331112064812106,0.7083333333333334,0.0664468830835234,3.908205197244615,3.2242718520710216,C,17,22,0.7727272727272727,1,FALSE,FALSE,TRUE,FALSE,TRUE,2,non-interpretable,FALSE,positive,siconfi,2021-03-30,0,earlier
SC_2021_01,services,Services volume,consumption,monthly,0.5503609859828457,0.5627804475471033,pct,0.5627804475471033,+0.6%,0.12757289838019648,0.5833333333333334,0.36575881600413285,3.031329844488444,2.518658422966243,C,6,22,0.2727272727272727,0.14285714285714285,TRUE,FALSE,FALSE,FALSE,FALSE,1,weak,FALSE,positive,siconfi,2021-03-30,0,earlier
SC_2021_01,formal_hiring,Formal hiring,labor_market,monthly,-7.963896996448533,,absolute,-7.963896996448533,-8.0,0.037230111046638696,0.625,0.6715426256568366,92.74895747737024,30.15229457348206,D,21,22,0.9545454545454546,0.047619047619047616,FALSE,FALSE,TRUE,FALSE,FALSE,1,non-interpretable,FALSE,negative,siconfi,2021-03-30,0,earlier
SC_2021_01,construction,Construction,labor_market,monthly,8.814727166844943,,absolute,8.814727166844943,+8.8,0.6674848399160417,0.8333333333333334,0.600042619174955,8.26887928622009,8.898704991393949,B,6,22,0.2727272727272727,1,TRUE,FALSE,TRUE,FALSE,TRUE,3,weak,FALSE,positive,siconfi,2021-03-30,0,earlier
SC_2021_01,icms_siconfi,ICMS,public_sector,bimonthly,-0.0342280816783899,-3.3648927474336343,pct,-3.3648927474336343,-3.4%,0.39800884060290775,0.75,0.2462852165803485,0.0826898179996821,0.09945129406543612,B,11,21,0.5238095238095238,0.8947368421052632,TRUE,FALSE,TRUE,FALSE,TRUE,3,weak,FALSE,negative,siconfi,2021-03-30,0,earlier
SC_2021_01,tax_siconfi,Tax revenue,public_sector,bimonthly,0.008074573546779614,0.8107260835167773,pct,0.8107260835167773,+0.8%,0.10041888821711818,0.5,0.38809394887492354,0.07874693767360723,0.08137443276684295,B,15,22,0.6818181818181818,0.9523809523809523,TRUE,FALSE,FALSE,FALSE,TRUE,2,weak,FALSE,positive,siconfi,2021-03-30,0,earlier
SC_2021_01,investment_siconfi,Public investment,public_sector,bimonthly,0.08740309194389383,9.133650001954763,pct,9.133650001954763,+9.1%,0.22014264795081387,0.5833333333333334,0.7643907991255704,0.4884297875886716,0.42783463516330944,C,15,22,0.6818181818181818,1,TRUE,FALSE,FALSE,FALSE,TRUE,2,weak,FALSE,positive,siconfi,2021-03-30,0,earlier
