state_abbrev,period_date,year,month,retail,services,formal_hiring,construction,icms_confaz,tax_confaz,treated_unit,donor_pool_main,excluded_from_main_donor_pool,analysis_period,pre_instability_clean,instability_start_date,removal_date,donor_pool_exclusion_reason,event_time,icms_nominal,population,retail_ma6,retail_ma6_log,icms_pc,icms_sum6m_pc,icms_conf6m_pc_log
DF,2010-12-01,2010,12,133.049479880261,,-15.2825174234008,56.1457143465336,4.87838594458651,5.02551021782112,FALSE,FALSE,TRUE,post,FALSE,2009-03-03,2009-04-17,coded_removal_in_scm_window:DF_2010_01,20,396609426,2570160,125.85903446426434,4.835162506563437,154.31312680922588,912.8494727954679,6.816570996022482
DF,2011-01-01,2011,1,128.339467556539,100.058781555972,137.153455950943,106.112961203651,4.97609416381988,5.07676150810225,FALSE,FALSE,TRUE,post,FALSE,2009-03-03,2009-04-17,coded_removal_in_scm_window:DF_2010_01,21,442474217,2609998,126.56566158807283,4.840761237437823,169.5304812494109,937.436072730097,6.843148566431688
DF,2011-02-01,2011,2,129.369028873157,98.1735963413394,44.5054241634365,-10.8146666922104,4.95440174347308,5.06821644542534,FALSE,FALSE,TRUE,post,FALSE,2009-03-03,2009-04-17,coded_removal_in_scm_window:DF_2010_01,22,374879218,2609998,127.49360401206833,4.848066198728966,143.63199435401867,929.5042636633169,6.834651394201346
DF,2011-03-01,2011,3,121.365247390269,92.2418146296285,46.2373812981091,-36.4037341087828,4.97958665929865,5.06149415293564,FALSE,FALSE,TRUE,post,FALSE,2009-03-03,2009-04-17,coded_removal_in_scm_window:DF_2010_01,23,391791274,2609998,127.218124608658,4.845903129817196,150.11171426185,929.3802999907192,6.834518019945402
ES,2006-04-01,2006,4,58.0338324286185,,,,4.94469277197663,5.00563134753203,FALSE,TRUE,FALSE,pre,TRUE,2009-03-03,2009-04-17,,-36,432687930,3464285,,,124.89963441229575,,
ES,2006-05-01,2006,5,58.7144372731693,,,,4.87506690781337,4.97287614085356,FALSE,TRUE,FALSE,pre,TRUE,2009-03-03,2009-04-17,,-35,379308768,3464285,,,109.4912133383945,,
ES,2006-06-01,2006,6,60.2384627561346,,,,4.93533570271771,5.00167578375434,FALSE,TRUE,FALSE,pre,TRUE,2009-03-03,2009-04-17,,-34,416988122,3464285,,,120.36773013767632,,
ES,2006-07-01,2006,7,60.2083312558872,,,,4.96235303059285,5.02730093425994,FALSE,TRUE,FALSE,pre,TRUE,2009-03-03,2009-04-17,,-33,414503942,3464285,,,119.6506471032262,,
ES,2006-08-01,2006,8,61.0116473965119,,,,4.93716969731544,5.00524941665783,FALSE,TRUE,FALSE,pre,TRUE,2009-03-03,2009-04-17,,-32,419380417,3464285,,,121.05828966150303,,
ES,2006-09-01,2006,9,61.7593502135594,,,,4.97149464965998,5.03489108711574,FALSE,TRUE,FALSE,pre,TRUE,2009-03-03,2009-04-17,,-31,441337599,3464285,59.99434355398015,4.094250283677687,127.39644659720548,722.8639612503013,6.583221045741417
ES,2006-10-01,2006,10,62.1473593595704,,,,4.9655026273549,5.03028600804043,FALSE,TRUE,FALSE,pre,TRUE,2009-03-03,2009-04-17,,-30,446314031,3464285,60.67993137580547,4.105613023560204,128.8329427284418,726.7972695664473,6.588647579726913
