state_abbrev,period_date,year,month,retail,services,formal_hiring,construction,treated_unit,donor_pool_main,excluded_from_main_donor_pool,analysis_period,pre_instability_clean,instability_start_date,removal_date,donor_pool_exclusion_reason,event_time,icms_nominal,caged_balance,population,retail_ma6,retail_ma6_log,icms_pc,icms_sum6m_pc,icms_conf6m_pc_log,formal_hiring_6m_per1k
RS,2018-01-01,2018,1,90.4451155146574,94.0243099172536,40.3285033264304,3.9937353998593,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,-11,3108743793,17769,11329605,89.22752671956,4.491189587490926,274.3911895427952,1469.1208672444784,7.2924194513763,0.661452892664837
RS,2018-02-01,2018,2,89.9889451426798,93.2856367711065,-6.98237301268731,1.70652481846116,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,-10,2553638593,13024,11329605,89.62180961812618,4.4955987012778404,225.39520071529412,1464.297289723288,7.289130740656875,1.9323709873380406
RS,2018-03-01,2018,3,92.4480439489064,91.7106536905541,53.8267317957643,8.75218312656424,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,-9,2480353924,12667,11329605,90.2680753364862,4.50278385789617,218.92677847109408,1443.0004518842422,7.274479871929915,3.0749527454840657
RS,2018-04-01,2018,4,90.759869542714,97.5137863551995,38.1423364957022,4.63170068976039,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,-8,2746918283,-1252,11329605,90.5977907444127,4.506429828032115,242.45490314975677,1451.0676133831225,7.280054849581537,2.25091695606334
RS,2018-05-01,2018,5,90.7280191252476,90.912238976617,24.5690128548235,3.37042168542011,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,-7,2668112115,-10727,11329605,90.73141444967865,4.507903652718111,235.49912949304058,1439.597974111638,7.2721191689460625,0.5315277981889042
RS,2018-06-01,2018,6,90.5031343236626,94.8641222361952,-4.66238444855192,-10.5568628010021,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,-6,2487769055,-6521,11329605,90.81218793297796,4.508793504936192,219.5812700442778,1416.2484714162586,7.255766733023899,2.203077688939729
RS,2018-07-01,2018,7,86.7012258917111,93.3686132319925,1.95808943033289,-1.30236592005518,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,-5,2927953639,-2657,11329605,90.18820632915359,4.501898668288908,258.43386764145794,1400.2911495149212,7.244435457921077,0.40019047442518957
RS,2018-08-01,2018,8,93.9171020468633,93.8218038212515,-3.30098565264722,-3.28423125831532,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,-4,2880273792,-4028,11329605,90.8428991465175,4.50913163159508,254.2254378683105,1429.1213866679377,7.264815119506231,-1.1048928890283465
RS,2018-09-01,2018,9,92.6426864571464,93.6859492632515,-10.3597289663037,-4.86790162468741,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,-3,3126414425,1359,11329605,90.87533956455749,4.509488672458064,275.9508760455462,1486.1454842423898,7.303941123744167,-2.1029859381681884
RS,2018-10-01,2018,10,92.1164561094481,93.0454987047924,3.36346223750295,-1.33955547601701,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,-2,2926666494,9319,11329605,91.10143732567985,4.511973581591284,258.3202586497941,1502.0108397424272,7.314560049170494,-1.1699437005967992
RS,2018-11-01,2018,11,93.2784136470892,91.0842219496932,-6.92867121935943,-0.0559338166470051,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,-1,3047325168,10121,11329605,91.52650307932012,4.516628581480793,268.97011572777694,1535.4818259771635,7.336599503911883,0.6701910613829873
RS,2018-12-01,2018,12,93.781133388271,93.4816063844701,-8.82727706178346,1.23836088350667,FALSE,TRUE,FALSE,post,FALSE,2018-11-07,2018-12-10,,0,3850477022,-22266,11329605,92.07283625675485,4.522579962264126,339.85977639997157,1655.7603323328572,7.412015597619124,-0.7195308221248666
RS,2019-01-01,2019,1,94.7916554027133,92.5289032944591,4.08480005044817,-7.83380124082393,FALSE,TRUE,FALSE,post,FALSE,2018-11-07,2018-12-10,,1,2729899082,12431,11377239,93.42124117525522,4.537118740955038,239.94389869106203,1637.2703633824613,7.400785721573092,0.6096382435140898
RS,2019-02-01,2019,2,94.7354987219826,93.9455607475265,70.5911345614239,-1.67555800220246,FALSE,TRUE,FALSE,post,FALSE,2018-11-07,2018-12-10,,2,2814176075,22463,11377239,93.55764062110843,4.538577723581719,247.35140705051552,1630.3963325646664,7.396578413057605,2.938059049300098
RS,2019-03-01,2019,3,92.3579924508291,88.2771806525035,-5.05160500425104,-16.0567433147443,FALSE,TRUE,FALSE,post,FALSE,2018-11-07,2018-12-10,,3,2803894229,2439,11377239,93.51019162005555,4.53807043163845,246.4476863850711,1600.8931429041913,7.378316966799337,3.032985419397448
RS,2019-04-01,2019,4,92.3404466380698,94.5938877594984,23.0148110399085,-5.18495700992778,FALSE,TRUE,FALSE,post,FALSE,2018-11-07,2018-12-10,,4,2987288336,-2498,11377239,93.54752337482583,4.538469578557003,262.56707238021454,1605.1399566346117,7.380966232157779,1.994332719915614
RS,2019-05-01,2019,5,93.0901854558976,94.5604033829982,47.1996846031053,2.07715278731519,FALSE,TRUE,FALSE,post,FALSE,2018-11-07,2018-12-10,,5,2839760410.55,-11207,11377239,93.51615200962723,4.538134170141358,249.600136777473,1585.7699776843078,7.368825358690558,0.11971270006721314
RS,2019-06-01,2019,6,91.5454659637266,92.5851140839775,13.8792082931518,-0.484744326875609,FALSE,TRUE,FALSE,post,FALSE,2018-11-07,2018-12-10,,6,2791423932.72,-3812,11377239,93.14354077220317,4.534141752423273,245.35161234812767,1491.2618136324638,7.307377895347194,1.7417231017121113
