target_path,status,bytes,error_message
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_012016.7z,downloaded,1288283,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_022016.7z,downloaded,986869,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_032016.7z,downloaded,1602703,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_042016.7z,downloaded,1462329,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_052016.7z,downloaded,1344755,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_062016.7z,downloaded,1604144,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_072016.7z,downloaded,1003781,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_082016.7z,downloaded,1064754,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_092016.7z,downloaded,928988,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_102016.7z,downloaded,1079370,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_112016.7z,downloaded,871622,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_122016.7z,downloaded,718103,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_012017.7z,downloaded,1205518,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_022017.7z,downloaded,562201,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_032017.7z,downloaded,904742,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_042017.7z,downloaded,1227142,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_052017.7z,downloaded,1499944,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_062017.7z,downloaded,1000394,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_072017.7z,downloaded,1139280,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_082017.7z,downloaded,1185849,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_092017.7z,downloaded,955993,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_102017.7z,downloaded,1148821,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_112017.7z,downloaded,918629,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_122017.7z,downloaded,921826,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_012018.7z,downloaded,1251831,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_022018.7z,downloaded,722117,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_032018.7z,downloaded,841766,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_042018.7z,downloaded,1514579,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_052018.7z,downloaded,1074576,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_062018.7z,downloaded,956452,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_072018.7z,downloaded,1009279,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_082018.7z,downloaded,779613,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_092018.7z,downloaded,1088675,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_102018.7z,downloaded,840842,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_112018.7z,downloaded,747889,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_122018.7z,downloaded,806252,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_012019.7z,already_present,898242,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_022019.7z,downloaded,616999,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_032019.7z,downloaded,1268672,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_042019.7z,downloaded,1028810,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_052019.7z,downloaded,1077515,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_062019.7z,downloaded,1077901,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_072019.7z,downloaded,1009046,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_082019.7z,downloaded,876584,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_092019.7z,downloaded,978815,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_102019.7z,downloaded,831110,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_112019.7z,downloaded,909278,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_122019.7z,downloaded,782310,
