nivel_territorial_codigo,nivel_territorial,unidade_de_medida_codigo,unidade_de_medida,valor,brasil_codigo,brasil,variavel_codigo,variavel,mes_codigo,mes,downloaded_at
1,Brasil,30,Número-índice,0.001031719911,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198909,setembro 1989,2026-05-13
1,Brasil,30,Número-índice,0.0014420348808,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198910,outubro 1989,2026-05-13
1,Brasil,30,Número-índice,0.0021316159803,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198911,novembro 1989,2026-05-13
1,Brasil,30,Número-índice,0.0032293981927,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198912,dezembro 1989,2026-05-13
1,Brasil,30,Número-índice,0.0054108567454,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199001,janeiro 1990,2026-05-13
1,Brasil,30,Número-índice,0.0095084984833,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199002,fevereiro 1990,2026-05-13
1,Brasil,30,Número-índice,0.017342550351,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199003,março 1990,2026-05-13
1,Brasil,30,Número-índice,0.0200341140678,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199004,abril 1990,2026-05-13
1,Brasil,30,Número-índice,0.0215547032441,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199005,maio 1990,2026-05-13
1,Brasil,30,Número-índice,0.0240873809519,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199006,junho 1990,2026-05-13
1,Brasil,30,Número-índice,0.027199470492,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199007,julho 1990,2026-05-13
1,Brasil,30,Número-índice,0.0307027623187,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199008,agosto 1990,2026-05-13
1,Brasil,30,Número-índice,0.0351270304097,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199009,setembro 1990,2026-05-13
1,Brasil,30,Número-índice,0.0401712720553,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199010,outubro 1990,2026-05-13
1,Brasil,30,Número-índice,0.0469240627842,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199011,novembro 1990,2026-05-13
1,Brasil,30,Número-índice,0.0555768600186,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199012,dezembro 1990,2026-05-13
1,Brasil,30,Número-índice,0.0671090584724,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199101,janeiro 1991,2026-05-13
1,Brasil,30,Número-índice,0.0810143888491,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199102,fevereiro 1991,2026-05-13
1,Brasil,30,Número-índice,0.0906736471203,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199103,março 1991,2026-05-13
1,Brasil,30,Número-índice,0.0951976035258,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199104,abril 1991,2026-05-13
1,Brasil,30,Número-índice,0.1022725378062,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199105,maio 1991,2026-05-13
1,Brasil,30,Número-índice,0.113715813284,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199106,junho 1991,2026-05-13
