nivel_territorial_codigo,nivel_territorial,unidade_de_medida_codigo,unidade_de_medida,valor,unidade_da_federacao_codigo,unidade_da_federacao,ano_codigo,ano,variavel_codigo,variavel,downloaded_at
3,Unidade da Federação,45,Pessoas,1586859,17,Tocantins,2025,2025,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,5730467,21,Maranhão,2001,2001,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,5803224,21,Maranhão,2002,2002,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,5873655,21,Maranhão,2003,2003,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,6021504,21,Maranhão,2004,2004,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,6103327,21,Maranhão,2005,2005,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,6184538,21,Maranhão,2006,2006,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,6305537,21,Maranhão,2008,2008,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,6367138,21,Maranhão,2009,2009,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,6645761,21,Maranhão,2011,2011,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,6714314,21,Maranhão,2012,2012,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,6794301,21,Maranhão,2013,2013,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,6850884,21,Maranhão,2014,2014,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,6904241,21,Maranhão,2015,2015,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,6954036,21,Maranhão,2016,2016,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,7000229,21,Maranhão,2017,2017,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,7035055,21,Maranhão,2018,2018,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,7075181,21,Maranhão,2019,2019,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,7114598,21,Maranhão,2020,2020,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,7153262,21,Maranhão,2021,2021,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,7010960,21,Maranhão,2024,2024,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,7018211,21,Maranhão,2025,2025,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,2873010,22,Piauí,2001,2001,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,2898223,22,Piauí,2002,2002,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,2923725,22,Piauí,2003,2003,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,2974698,22,Piauí,2004,2004,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,3006885,22,Piauí,2005,2005,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,3036290,22,Piauí,2006,2006,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,3111881,22,Piauí,2008,2008,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,3145325,22,Piauí,2009,2009,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,3140328,22,Piauí,2011,2011,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,3160748,22,Piauí,2012,2012,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,3184166,22,Piauí,2013,2013,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,3194718,22,Piauí,2014,2014,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,3204028,22,Piauí,2015,2015,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,3212180,22,Piauí,2016,2016,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,3219257,22,Piauí,2017,2017,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,3264531,22,Piauí,2018,2018,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,3273227,22,Piauí,2019,2019,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,3281480,22,Piauí,2020,2020,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,3289290,22,Piauí,2021,2021,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,3375646,22,Piauí,2024,2024,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,3384547,22,Piauí,2025,2025,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,7547620,23,Ceará,2001,2001,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,7654535,23,Ceará,2002,2002,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,7758441,23,Ceará,2003,2003,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,7976563,23,Ceará,2004,2004,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,8097276,23,Ceará,2005,2005,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,8217085,23,Ceará,2006,2006,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,8450528,23,Ceará,2008,2008,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,8547809,23,Ceará,2009,2009,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,8530155,23,Ceará,2011,2011,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,8606005,23,Ceará,2012,2012,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,8778576,23,Ceará,2013,2013,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,8842791,23,Ceará,2014,2014,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,8904459,23,Ceará,2015,2015,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,8963663,23,Ceará,2016,2016,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,9020460,23,Ceará,2017,2017,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,9075649,23,Ceará,2018,2018,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,9132078,23,Ceará,2019,2019,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,9187103,23,Ceará,2020,2020,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,9240580,23,Ceará,2021,2021,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,9233656,23,Ceará,2024,2024,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,9268836,23,Ceará,2025,2025,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,2815244,24,Rio Grande do Norte,2001,2001,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,2852784,24,Rio Grande do Norte,2002,2002,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,2888058,24,Rio Grande do Norte,2003,2003,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,2962107,24,Rio Grande do Norte,2004,2004,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,3003087,24,Rio Grande do Norte,2005,2005,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,3043760,24,Rio Grande do Norte,2006,2006,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,3106436,24,Rio Grande do Norte,2008,2008,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,3137541,24,Rio Grande do Norte,2009,2009,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,3198657,24,Rio Grande do Norte,2011,2011,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,3228198,24,Rio Grande do Norte,2012,2012,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,3373959,24,Rio Grande do Norte,2013,2013,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,3408510,24,Rio Grande do Norte,2014,2014,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,3442175,24,Rio Grande do Norte,2015,2015,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,3474998,24,Rio Grande do Norte,2016,2016,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,3507003,24,Rio Grande do Norte,2017,2017,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,3479010,24,Rio Grande do Norte,2018,2018,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,3506853,24,Rio Grande do Norte,2019,2019,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,3534165,24,Rio Grande do Norte,2020,2020,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,3560903,24,Rio Grande do Norte,2021,2021,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,3446071,24,Rio Grande do Norte,2024,2024,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,3455236,24,Rio Grande do Norte,2025,2025,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,3468594,25,Paraíba,2001,2001,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,3494893,25,Paraíba,2002,2002,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,3518595,25,Paraíba,2003,2003,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,3568350,25,Paraíba,2004,2004,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,3595886,25,Paraíba,2005,2005,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,3623215,25,Paraíba,2006,2006,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,3742604,25,Paraíba,2008,2008,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,3769977,25,Paraíba,2009,2009,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,3791315,25,Paraíba,2011,2011,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,3815171,25,Paraíba,2012,2012,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,3914421,25,Paraíba,2013,2013,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,3943885,25,Paraíba,2014,2014,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,3972202,25,Paraíba,2015,2015,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,3999415,25,Paraíba,2016,2016,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,4025558,25,Paraíba,2017,2017,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,3996496,25,Paraíba,2018,2018,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,4018127,25,Paraíba,2019,2019,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,4039277,25,Paraíba,2020,2020,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,4059905,25,Paraíba,2021,2021,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,4145040,25,Paraíba,2024,2024,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,4164468,25,Paraíba,2025,2025,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,8008207,26,Pernambuco,2001,2001,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,8084667,26,Pernambuco,2002,2002,9324,População residente estimada,2026-06-03
