dropped_donor,period_date,event_time,plot_time,analysis_period,loo_gap
MT,2016-08-01,-5,-5,pre,18.313839690443046
MT,2016-10-01,-4,-4,pre,-45.460188718541076
MT,2016-12-01,-3,-3,pre,-15.773721091030211
MT,2017-02-01,-2,-2,pre,-9.095077332533037
MT,2017-04-01,-1,-1,pre,-11.138039020339306
MT,2018-02-01,4,1,post,11.852332642492797
MT,2018-04-01,5,2,post,-10.13345134894621
MT,2018-06-01,6,3,post,-34.16502870735883
MT,2018-08-01,7,4,post,39.655844554321675
MT,2018-10-01,8,5,post,45.534468020967665
MT,2018-12-01,9,6,post,63.57102655463336
MT,2019-02-01,10,7,post,116.76520267523154
MT,2019-04-01,11,8,post,70.10141097432233
MT,2019-06-01,12,9,post,71.6280999541508
MT,2019-08-01,13,10,post,90.43136735524172
MT,2019-10-01,14,11,post,64.02040301347847
MT,2019-12-01,15,12,post,64.86326142796543
PA,2015-08-01,-11,-11,pre,98.47607114657512
PA,2015-10-01,-10,-10,pre,35.06796218378747
PA,2015-12-01,-9,-9,pre,-14.088448790661232
PA,2016-02-01,-8,-8,pre,30.158263339221662
PA,2016-04-01,-7,-7,pre,-14.901184021679342
PA,2016-06-01,-6,-6,pre,-16.672056516471457
PA,2016-08-01,-5,-5,pre,14.437579364454677
PA,2016-10-01,-4,-4,pre,-56.967607124261235
PA,2016-12-01,-3,-3,pre,-34.04955731817222
PA,2017-02-01,-2,-2,pre,-19.02042608110878
PA,2017-04-01,-1,-1,pre,-24.996677907402386
PA,2018-02-01,4,1,post,6.400078377279328
PA,2018-04-01,5,2,post,-17.163261155276018
PA,2018-06-01,6,3,post,-48.43539200759983
PA,2018-08-01,7,4,post,25.05979002386482
PA,2018-10-01,8,5,post,32.39437023414155
PA,2018-12-01,9,6,post,63.85493713099277
PA,2019-02-01,10,7,post,138.37901617032446
PA,2019-04-01,11,8,post,101.07662921811232
PA,2019-06-01,12,9,post,75.09151962966689
PA,2019-08-01,13,10,post,97.45310852369084
PA,2019-10-01,14,11,post,60.2129612324203
PA,2019-12-01,15,12,post,42.84891497277545
PB,2015-08-01,-11,-11,pre,87.44844118583933
PB,2015-10-01,-10,-10,pre,40.75117717104342
PB,2015-12-01,-9,-9,pre,-19.051780600927486
PB,2016-02-01,-8,-8,pre,15.295986730828645
PB,2016-04-01,-7,-7,pre,-32.35230966149743
PB,2016-06-01,-6,-6,pre,-22.042055124504714
PB,2016-08-01,-5,-5,pre,18.112732983543992
PB,2016-10-01,-4,-4,pre,-45.687165343189236
PB,2016-12-01,-3,-3,pre,-15.871663460039827
PB,2017-02-01,-2,-2,pre,-9.065267038362322
PB,2017-04-01,-1,-1,pre,-10.95744065611916
PB,2018-02-01,4,1,post,12.268698133736166
PB,2018-04-01,5,2,post,-9.801670275557399
PB,2018-06-01,6,3,post,-33.90815897904997
PB,2018-08-01,7,4,post,39.807232764849914
PB,2018-10-01,8,5,post,45.66942292007843
PB,2018-12-01,9,6,post,63.83480419958414
PB,2019-02-01,10,7,post,117.06500420486645
PB,2019-04-01,11,8,post,70.41662059452233
PB,2019-06-01,12,9,post,71.93044217219904
PB,2019-08-01,13,10,post,90.70901580006148
PB,2019-10-01,14,11,post,64.29585669494793
PB,2019-12-01,15,12,post,65.13364790126138
PE,2015-08-01,-11,-11,pre,87.91697416720717
PE,2015-10-01,-10,-10,pre,41.04526175685021
PE,2015-12-01,-9,-9,pre,-19.016488784850708
PE,2016-02-01,-8,-8,pre,15.129857278236614
PE,2016-04-01,-7,-7,pre,-32.48067540127249
PE,2016-06-01,-6,-6,pre,-22.099484058142593
PE,2016-08-01,-5,-5,pre,18.308971459418217
PE,2016-10-01,-4,-4,pre,-45.44678856489668
PE,2016-12-01,-3,-3,pre,-15.678639863542912
PE,2017-02-01,-2,-2,pre,-9.032084885989434
PE,2017-04-01,-1,-1,pre,-11.04092539036742
PE,2018-02-01,4,1,post,11.867122019635644
PE,2018-04-01,5,2,post,-10.170306160611062
PE,2018-06-01,6,3,post,-34.13247924305017
PE,2018-08-01,7,4,post,39.677797388355884
PE,2018-10-01,8,5,post,45.52793751193042
PE,2018-12-01,9,6,post,63.62778496651367
PE,2019-02-01,10,7,post,116.79895179051573
PE,2019-04-01,11,8,post,70.08643126309062
PE,2019-06-01,12,9,post,71.65126558808458
PE,2019-08-01,13,10,post,90.35899261454449
PE,2019-10-01,14,11,post,63.92417743063743
PE,2019-12-01,15,12,post,65.01477992079117
PI,2015-08-01,-11,-11,pre,87.74329069804276
PI,2015-10-01,-10,-10,pre,41.07908720902503
PI,2015-12-01,-9,-9,pre,-18.684661201260496
PI,2016-02-01,-8,-8,pre,15.581970586231591
PI,2016-04-01,-7,-7,pre,-31.946877898899174
PI,2016-06-01,-6,-6,pre,-21.625339056738085
PI,2016-08-01,-5,-5,pre,18.431980354154803
PI,2016-10-01,-4,-4,pre,-45.308694048441566
PI,2016-12-01,-3,-3,pre,-15.929404564214337
