period_date,analysis_period,treated_value,synthetic_value,gap,outcome,treated_state,placebo_state
2018-10-01,pre,179,376.060019705006,-197.06001970500603,formal_hiring_balance,AP,AP
2018-11-01,pre,78,187.26101745461065,-109.26101745461065,formal_hiring_balance,AP,AP
2019-01-01,post,-462,-392.93029346038105,-69.06970653961895,formal_hiring_balance,AP,AP
2019-02-01,post,79,491.0154364020855,-412.0154364020855,formal_hiring_balance,AP,AP
2019-03-01,post,48,-467.2251725733297,515.2251725733297,formal_hiring_balance,AP,AP
2019-04-01,post,227,1362.3362657869648,-1135.3362657869648,formal_hiring_balance,AP,AP
2019-05-01,post,-283,1528.8201754338713,-1811.8201754338713,formal_hiring_balance,AP,AP
2019-06-01,post,-165,241.46735793141332,-406.4673579314133,formal_hiring_balance,AP,AP
2019-07-01,post,22,-407.11358508667723,429.11358508667723,formal_hiring_balance,AP,AP
2019-08-01,post,71,469.52952265468775,-398.52952265468775,formal_hiring_balance,AP,AP
2019-09-01,post,182,1149.2186829344923,-967.2186829344923,formal_hiring_balance,AP,AP
2019-10-01,post,420,252.88149458077086,167.11850541922914,formal_hiring_balance,AP,AP
2019-11-01,post,233,59.20818345605654,173.79181654394347,formal_hiring_balance,AP,AP
2019-12-01,post,-391,-1432.6114165105066,1041.6114165105066,formal_hiring_balance,AP,AP
2020-01-01,post,75,188.30420842590595,-113.30420842590595,formal_hiring_balance,AP,AP
2020-02-01,post,181,1445.213652688599,-1264.213652688599,formal_hiring_balance,AP,AP
2020-03-01,post,-337,-1079.4344709754496,742.4344709754496,formal_hiring_balance,AP,AP
2020-04-01,post,-1045,-4396.162804827914,3351.1628048279144,formal_hiring_balance,AP,AP
2020-05-01,post,-367,-1685.9569695241419,1318.9569695241419,formal_hiring_balance,AP,AP
2020-06-01,post,-10,52.261733357752284,-62.261733357752284,formal_hiring_balance,AP,AP
2020-07-01,post,-15,883.7067416232983,-898.7067416232983,formal_hiring_balance,AP,AP
2020-08-01,post,524,1894.3984023371188,-1370.3984023371188,formal_hiring_balance,AP,AP
2020-09-01,post,664,2184.665547079348,-1520.665547079348,formal_hiring_balance,AP,AP
2020-10-01,post,1335,2448.4658565324858,-1113.4658565324858,formal_hiring_balance,AP,AP
2020-11-01,post,84,2364.008778292837,-2280.008778292837,formal_hiring_balance,AP,AP
2020-12-01,post,-69,-1130.0836723542895,1061.0836723542895,formal_hiring_balance,AP,AP
2016-01-01,pre,-1187,-6084.468177409487,4897.468177409487,formal_hiring_balance,BA,BA
2016-02-01,pre,-5812,-6269.252214422526,457.25221442252587,formal_hiring_balance,BA,BA
2016-03-01,pre,-4803,-7004.214808517481,2201.2148085174813,formal_hiring_balance,BA,BA
2016-04-01,pre,-3022,-2817.7235820024316,-204.2764179975684,formal_hiring_balance,BA,BA
2016-05-01,pre,-6052,-3644.4303454175206,-2407.5696545824794,formal_hiring_balance,BA,BA
2016-06-01,pre,-7976,-4419.498311416715,-3556.5016885832847,formal_hiring_balance,BA,BA
2016-07-01,pre,-7285,-3552.673382455092,-3732.326617544908,formal_hiring_balance,BA,BA
2016-08-01,pre,-3516,-1690.510286814392,-1825.489713185608,formal_hiring_balance,BA,BA
2016-09-01,pre,-331,-2494.948689779084,2163.948689779084,formal_hiring_balance,BA,BA
2016-10-01,pre,-5601,-3816.749622595801,-1784.2503774041988,formal_hiring_balance,BA,BA
2016-11-01,pre,-7547,-5250.138416105156,-2296.8615838948444,formal_hiring_balance,BA,BA
2016-12-01,pre,-16272,-21423.677624054835,5151.677624054835,formal_hiring_balance,BA,BA
2017-01-01,pre,-145,-3502.0380537358087,3357.0380537358087,formal_hiring_balance,BA,BA
2017-02-01,pre,-1704,-60.36294075897149,-1643.6370592410285,formal_hiring_balance,BA,BA
2017-03-01,pre,-2920,-3105.462960185677,185.46296018567682,formal_hiring_balance,BA,BA
2017-04-01,pre,7192,3184.187862664786,4007.812137335214,formal_hiring_balance,BA,BA
2017-05-01,pre,2966,1553.9826496443507,1412.0173503556493,formal_hiring_balance,BA,BA
2017-06-01,pre,-1290,186.91213570599848,-1476.9121357059985,formal_hiring_balance,BA,BA
2017-07-01,pre,847,1762.1602977874625,-915.1602977874625,formal_hiring_balance,BA,BA
2017-08-01,pre,2490,2048.9486462816694,441.0513537183306,formal_hiring_balance,BA,BA
2017-09-01,pre,2297,892.8714529016036,1404.1285470983964,formal_hiring_balance,BA,BA
2017-10-01,pre,-36,3808.823479400301,-3844.823479400301,formal_hiring_balance,BA,BA
2017-11-01,pre,-1146,-1672.3293127175007,526.3293127175007,formal_hiring_balance,BA,BA
2017-12-01,pre,-12457,-14406.32927127435,1949.3292712743496,formal_hiring_balance,BA,BA
2018-01-01,pre,5547,1294.562099426049,4252.437900573951,formal_hiring_balance,BA,BA
2018-02-01,pre,-36,2115.836710983342,-2151.836710983342,formal_hiring_balance,BA,BA
2018-03-01,pre,4151,1577.167287840804,2573.832712159196,formal_hiring_balance,BA,BA
2018-04-01,pre,1976,5638.557442802849,-3662.5574428028494,formal_hiring_balance,BA,BA
2018-05-01,pre,5935,949.0313697245027,4985.968630275497,formal_hiring_balance,BA,BA
2018-06-01,pre,-1763,-526.222290535351,-1236.777709464649,formal_hiring_balance,BA,BA
2018-07-01,pre,1672,1506.229678952513,165.77032104748696,formal_hiring_balance,BA,BA
2018-08-01,pre,4864,5026.515850947422,-162.51585094742222,formal_hiring_balance,BA,BA
2018-09-01,pre,8509,6850.719706914593,1658.2802930854068,formal_hiring_balance,BA,BA
2018-10-01,pre,625,1978.7409374873293,-1353.7409374873293,formal_hiring_balance,BA,BA
2018-11-01,pre,964,2524.1739723194332,-1560.1739723194332,formal_hiring_balance,BA,BA
2019-01-01,post,1211,-433.9066736684738,1644.9066736684738,formal_hiring_balance,BA,BA
2019-02-01,post,5706,5307.009295130273,398.99070486972687,formal_hiring_balance,BA,BA
2019-03-01,post,2569,-2175.7272529716265,4744.7272529716265,formal_hiring_balance,BA,BA
2019-04-01,post,10093,6093.367642797813,3999.6323572021874,formal_hiring_balance,BA,BA
2019-05-01,post,2540,834.2389410976398,1705.7610589023602,formal_hiring_balance,BA,BA
2019-06-01,post,2362,2156.6637894567457,205.3362105432543,formal_hiring_balance,BA,BA
2019-07-01,post,-2275,1840.6661980315973,-4115.666198031598,formal_hiring_balance,BA,BA
